S.No.,District Code,District Name,District Census 2011 Code,District Census 2001 Code,Subdistrict Code,Subdistrict Name,Subdistrict Census 2011 Code,Subdistrict Census 2001 Code,Village Code,Village Name,Village Census 2011 Code,Village Census 2001 Code,Local Body Code,Local Body Name
1,118,Agra,146,15,766,Agra,00766,2,124607,Abhaypura,124607,01578100,42776,Abhaypura
2,118,Agra,146,15,766,Agra,00766,2,124649,Akbarpur,124649,01582600,42852,Akbarpur
3,118,Agra,146,15,766,Agra,00766,2,124618,Akola,124618,01579200,42778,Akola
4,118,Agra,146,15,766,Agra,00766,2,124602,Albatia,124602,01577600,,
5,118,Agra,146,15,766,Agra,00766,2,124591,Anguthi,124591,01576200,42905,Angoothi
6,118,Agra,146,15,766,Agra,00766,2,124689,Artauni (Ct),124689,01574200,42906,Artauni
7,118,Agra,146,15,766,Agra,00766,2,124697,Azizpur (Ct),124697,41506000,274049,Azizpur
8,118,Agra,146,15,766,Agra,00766,2,124579,Babarpur Ehtmali,124579,01574900,,
9,118,Agra,146,15,766,Agra,00766,2,124580,Babarpur Mustkil,124580,01575000,,
10,118,Agra,146,15,766,Agra,00766,2,124626,Bad,124626,01580000,42853,Bad
11,118,Agra,146,15,766,Agra,00766,2,124634,Bagda,124634,01581100,42854,Bagda
12,118,Agra,146,15,766,Agra,00766,2,124645,Bahenta,124645,01582200,42855,Bahenta
13,118,Agra,146,15,766,Agra,00766,2,124612,Bain Khera,124612,01578600,42779,Bain Khera
14,118,Agra,146,15,766,Agra,00766,2,124575,Bainpur Mustkil,124575,01574500,241770,Baipur Mustkil
15,118,Agra,146,15,766,Agra,00766,2,124578,Baipur Ehtmali,124578,01574800,241770,Baipur Mustkil
16,118,Agra,146,15,766,Agra,00766,2,124644,Bajhera,124644,01582100,268061,Bajhera
17,118,Agra,146,15,766,Agra,00766,2,124606,Balhera,124606,01578000,42780,Balhera
18,118,Agra,146,15,766,Agra,00766,2,124604,Bamrauli Ahir,124604,01577800,42907,Bamrauli Ahir
19,118,Agra,146,15,766,Agra,00766,2,124661,Bamrauli Katara,124661,01583800,42856,Bamrauli Katara
20,118,Agra,146,15,766,Agra,00766,2,124599,Barara,124599,01577000,42908,Barara
21,118,Agra,146,15,766,Agra,00766,2,124635,Barauli Ahir,124635,01581200,42857,Barauli Ahir
22,118,Agra,146,15,766,Agra,00766,2,124682,Barauli Gujar,124682,01585900,42858,Barauli Gujar
23,118,Agra,146,15,766,Agra,00766,2,124665,Basai,124665,01584200,,
24,118,Agra,146,15,766,Agra,00766,2,940818,Basai Mushatkil Chungi Andar,000000,,,
25,118,Agra,146,15,766,Agra,00766,2,124600,Basua Nagla,124600,01577100,42923,Patholi
26,118,Agra,146,15,766,Agra,00766,2,124623,Bhahai,124623,01579700,274038,Bhahai
27,118,Agra,146,15,766,Agra,00766,2,124620,Bhandai,124620,01579400,42860,Bhandai
28,118,Agra,146,15,766,Agra,00766,2,940819,Bhogipura,000000,,,
29,118,Agra,146,15,766,Agra,00766,2,124588,Bichpuri,124588,01575900,42909,Bichpuri
30,118,Agra,146,15,766,Agra,00766,2,124664,Bijhamai,124664,01584100,42861,Bijhamai
31,118,Agra,146,15,766,Agra,00766,2,124679,Bilahani,124679,01585600,42862,Bilahani
32,118,Agra,146,15,766,Agra,00766,2,124687,Bisarna,124687,01586400,42863,Bisarna
33,118,Agra,146,15,766,Agra,00766,2,124646,Bishara Kalan,124646,01582300,42864,Bishara Kalan
34,118,Agra,146,15,766,Agra,00766,2,124683,Bishari Bhand,124683,01586000,42865,Bishari Bhand
35,118,Agra,146,15,766,Agra,00766,2,940820,Bodla,000000,,,
36,118,Agra,146,15,766,Agra,00766,2,124650,Brahmnagar,124650,01582700,42852,Akbarpur
37,118,Agra,146,15,766,Agra,00766,2,124667,Budhana Ehtmali,124667,01584400,42866,Budhana Mustkil
38,118,Agra,146,15,766,Agra,00766,2,124668,Budhana Mustkil,124668,01584500,42866,Budhana Mustkil
