gp_code,gp_name,block_code,block_name,zp_code,zp_name
92922,Kotwar,2197,Sumerpur,177,Unnao
73389,Kotwara,1881,Kumbhigola,150,Kheri
50269,Kotwari,1504,Rasra,117,Ballia
83524,Kotwar Mau,2047,Bahadurpur,584,Amethi
51602,Kotwa Sadak,1525,Bani Kodar,120,Barabanki
82868,Kotwa Sukulpur,2036,Lalganj,165,Pratapgarh
58354,Koubara,1625,Manikpur,127,Chitrakoot
44991,Koundi,1423,Koraon,111,Prayagraj
65510,Kourhe,1744,Mujehana,138,Gonda
65761,Kouria,1748,Rupaideeh,138,Gonda
67687,Kourondh,1780,Bharawan,141,Hardoi
78247,Koyal,1960,Raya,158,Mathura
266142,Koyalhwa,1477,Balaha,116,Bahraich
50654,Koyal Khar,1510,Gaisri,118,Balrampur
67688,Koyaly,1780,Bharawan,141,Hardoi
82622,Koyam,2032,Gaura,165,Pratapgarh
265243,Koyana,1657,Shitalpur,129,Etah
265914,Koyaripur Khurd,2204,Pindra,178,Varanasi
84506,Koyla,2067,Chamraon,167,Rampur
84507,Koyli,2067,Chamraon,167,Rampur
60505,Krapalpura,1661,Basrehar,130,Etawah
84602,Krimcha,2068,Milak,167,Rampur
44610,Kripalpur,1418,Holagarh,111,Prayagraj
49733,Kripalpur,1493,Belhari,117,Ballia
265951,Kripalpur,1849,Amrodha,147,Kanpur Dehat
62265,Kripalpur Bindha,1690,Devmai,133,Fatehpur
84603,Kripya Happu,2068,Milak,167,Rampur
84604,Kripya Pandey,2068,Milak,167,Rampur
93018,Krishnadattpur,2198,Arajiline,178,Varanasi
73831,Krishna Nagar,1887,Palia,150,Kheri
45524,Krishnapur,1431,Soraon,111,Prayagraj
69179,Krishnapur,1805,Badla Pur,143,Jaunpur
93513,Krishnapur Kala,2204,Pindra,178,Varanasi
84174,Krishnapur Tala,2061,Sataon,166,Rae Bareli
53912,Krisna Bhaugauti,1558,Basti,122,Basti
76516,Krit Pipra,1930,Mahrajganj,155,Maharajganj
59409,Kritpura,1642,Rudrapur,128,Deoria
64129,Kritsinghpur,1723,Jakhania,137,Ghazipur
57539,Kriyawali,1613,Syana,125,Bulandshahr
266123,Kriyawali,1603,Bulandshahr,125,Bulandshahr
59408,Krorva,1642,Rudrapur,128,Deoria
267641,Krrishni,2072,Ballia Kheri,168,Saharanpur
268862,Kshiyapur,2114,Gilaula,172,Shravasti
63892,Kthar,1720,Bhanwarkol,137,Ghazipur
67930,Kthetha,1784,Harpalpur,141,Hardoi
68126,Ktiya Bhikaripur,1788,Mallawan,141,Hardoi
44799,Kuaan,1421,Kaudhiyara,111,Prayagraj
61390,Kuaan Dand,1677,Tarun,131,Ayodhya
93106,Kuaar,2199,Baragaon,178,Varanasi
76822,Kuachhap,1934,Paniyara,155,Maharajganj
56631,Kua Danda,1596,Ujhani,124,Budaun
266405,Kuagaon,1407,Gonda,110,Aligarh
54786,Kuakhera,1570,Afzalgarh,123,Bijnor
77715,Kuakhera,1949,Mainpuri,157,Mainpuri
238686,Kua Khera,1835,Dhanaura,145,Amroha
81005,Kuakhera Khalsa,2006,Thakurdwara,162,Moradabad
80563,Kuakhera Mafi,2000,Dilari,162,Moradabad
66701,Kua N Bujurg,1762,Khajni,139,Gorakhpur
51874,Kuan Danda,1529,Fatehpur,120,Barabanki
53043,Kuan Danda,1545,Bhuta,121,Bareilly
87048,Kuan Danda,2101,Jaitipur,171,Shahjahanpur
269513,Kuan Danda,2112,Tilhar,171,Shahjahanpur
53536,Kuan Dandaa,1553,Nawabganj,121,Bareilly
52973,Kuan Danda Dhimni,1544,Bhojipura,121,Bareilly
56515,Kuan Danda Kasimpur,1594,Salarpur,124,Budaun
87225,Kuan Danda Khanjan,2105,Khudaganj Katra,171,Shahjahanpur
68742,Kuane Khera,1798,Kadaura,142,Jalaun
42885,Kuan Khera,1389,Barauli Ahir,109,Agra
268029,Kuan Khera,2066,Bilaspur,167,Rampur
66094,Kuanrpar,1753,Belghat,139,Gorakhpur
75166,Kuantala,1907,Jakhaura,152,Lalitpur
90349,Kuarava,297516,Kon,175,Sonbhadra
55768,Kuarera,1582,Asafpur,124,Budaun
75749,Kubahara,1917,Mohanlalganj,153,Lucknow
80028,Kuba Kala,1992,Rajgarh,161,Mirzapur
48353,Kuba Khas,1469,Tarwa,114,Azamgarh
80029,Kuba Kurd,1992,Rajgarh,161,Mirzapur
43792,Kubara,1407,Gonda,110,Aligarh
269013,Kubari,1732,Varachakwar,137,Ghazipur
61463,Kubarpur Ghat,1678,Barhpur,132,Farrukhabad
91867,Kubarshahpatti,2178,P.P.Kamaicha,176,Sultanpur
74095,Kubera Patti,1891,Dudhahi,151,Kushi Nagar
43166,Kuberpur,1396,Khandauli,109,Agra
61514,Kuberpur,1679,Kaimganj,132,Farrukhabad
61692,Kuberpur Dugarsi,1681,Mohamdabad,132,Farrukhabad
61693,Kuberpur Junnardar,1681,Mohamdabad,132,Farrukhabad
61839,Kuberpur Kundra,1683,Rajepur,132,Farrukhabad
61840,Kuberpur Kutlupur,1683,Rajepur,132,Farrukhabad
58958,Kuberua,1635,Bhatpar Rani,128,Deoria
55895,Kubri Kam Sahai,1584,Dahgavan,124,Budaun
78313,Kuchahara,1961,Badraon,159,Mau
270616,Kuchai,1964,Ghosi,159,Mau
84698,Kuchaita,2069,Saidnagar,167,Rampur
271540,Kuchalaiya,2149,Sakran,174,Sitapur
58484,Kucharam,1627,Pahari,127,Chitrakoot
60325,Kucharani,1658,Sidhpura,577,Kasganj
74163,Kuchaya Mathia,1892,Fazilnagar,151,Kushi Nagar
271749,Kuchdehari,1767,Sahjanawa,139,Gorakhpur
50389,Kuchehra,1506,Siar,117,Ballia
77714,Kuchela,1949,Mainpuri,157,Mainpuri
51164,Kuchendo,1517,Baberu,119,Banda
61197,Kuchera,1674,Milkipur,131,Ayodhya
56889,Kuchesar,1602,Bhawan Bahadur Nagar,125,Bulandshahr
56956,Kuchheja,1603,Bulandshahr,125,Bulandshahr
69398,Kuchhmuchh,1808,Dharma Pur,143,Jaunpur
90943,Kuchhmuchh,2162,Bhadaiya,176,Sultanpur
68241,Kuchila Vijna,1790,Sandi,141,Hardoi
88944,Kuchkapur,2132,Ailiya,174,Sitapur
89195,Kuchlai,2135,Gondlamau,174,Sitapur
51351,Kuchouli,1521,Kamasin,119,Banda
54056,Kuchrupur,1560,Gaur,122,Basti
271173,Kudaari,2153,Chopan,175,Sonbhadra
78314,Kudahani,1961,Badraon,159,Mau
77128,Kudai,1939,Jaitpur,156,Mahoba
56957,Kudaina,1603,Bulandshahr,125,Bulandshahr
238752,Kudaina Chak,1836,Gajraula,145,Amroha
265787,Kudaini,1836,Gajraula,145,Amroha
59574,Kudaisa Hirdaipur,1645,Aliganj,129,Etah
69057,Kudaiya,1803,Nadigaon,142,Jalaun
242090,Kudaiya,2107,Madnapur,171,Shahjahanpur
81600,Kudana,2018,Shamli,259727,Shamli
44472,Kudanpur,1416,Dhanupur,111,Prayagraj
44992,Kudar,1423,Koraon,111,Prayagraj
77083,Kudar,1938,Charkhari,156,Mahoba
57794,Kudara,1617,Chakiya,126,Chandauli
88708,Kudarankhas,2128,Mithwal,173,Siddharth Nagar
47050,Kudaran Tiwari,1451,Azmatgarh,114,Azamgarh
90557,Kudari,2156,Myorpur,175,Sonbhadra
68817,Kudari Konch,1799,Konch,142,Jalaun
69058,Kudari Madhogarh,1803,Nadigaon,142,Jalaun
60716,Kudariya,1665,Mahewa,130,Etawah
46777,Kudar Kot,1447,Erwa Katra,113,Auraiya
56365,Kudarsi,1592,Rajpura,259726,Sambhal
52391,Kudasadat,1536,Rudauli,131,Ayodhya
65450,Kudasan,1743,Mankapur,138,Gonda
71702,Kudauli Madauli,1851,Jhinjhak,147,Kanpur Dehat
49038,Kudauni,1481,Kaisarganj,116,Bahraich
67642,Kudauni,1779,Behendar,141,Hardoi
72179,Kudaura,1859,Bilhaur,148,Kanpur Nagar
68287,Kudauri,1791,Sandila,141,Hardoi
86150,Kudawa,2089,Pauli,169,Sant Kabeer Nagar
52748,Kudda,1541,Aalampur Jafarabad,121,Bareilly
70470,Kuddupur,1823,Sirkoni,143,Jaunpur
92313,Kudeena,2187,Fatehpur Chaurasi,177,Unnao
60080,Kudha,1654,Patiyali,577,Kasganj
69951,Kudha,1816,Mariyahu,143,Jaunpur
271609,Kudha Chak Sagunpur,2049,Dalmau,166,Rae Bareli
75568,Kudha Eat Gaon,1914,Kakori,153,Lucknow
64652,Kudhalabi,1731,Saidpur,137,Ghazipur
45685,Kudha Mohammadgarh,1433,Akbarpur,112,Ambedkar Nagar
62447,Kudhan,1693,Hathgaon,133,Fatehpur
264774,Kudha Narsinhpur,1596,Ujhani,124,Budaun
48354,Kudhapar,1469,Tarwa,114,Azamgarh
60388,Kudhar,1659,Soron,577,Kasganj
55833,Kudhauli,1583,Bisauli,124,Budaun
57080,Kudhauni,1605,Dibai,125,Bulandshahr
72603,Kudhawa,1867,Vidhunu,148,Kanpur Nagar
71652,Kudhawal,1850,Derapur,147,Kanpur Dehat
54495,Kudhi,1566,Rudauli,122,Basti
79132,Kudhla,1976,Meerut,160,Meerut
69180,Kudhuwa,1805,Badla Pur,143,Jaunpur
80030,Kudi,1992,Rajgarh,161,Mirzapur
88227,Kudi,2122,Domariyaganj,173,Siddharth Nagar
93105,Kudi,2199,Baragaon,178,Varanasi
48441,Kudihar,1470,Thekma,114,Azamgarh
71458,Kudihna,1847,Umarda,146,Kannauj
63265,Kudi Khera,1707,Bisrakh,135,Gautam Buddha Nagar
64109,Kudila,1723,Jakhania,137,Ghazipur
85794,Kudi Manman,2084,Belhar Kala,169,Sant Kabeer Nagar
87363,Kudirna,2109,Nigohi,171,Shahjahanpur
88875,Kudiya,2131,Uska Bazar,173,Siddharth Nagar
46197,Kudiya Chitauna,1439,Katehari,112,Ambedkar Nagar
65687,Kudiyav,1747,Paraspur,138,Gonda
88469,Kudja,2125,Khesraha,173,Siddharth Nagar
72116,Kudni,1858,Bhitargaon,148,Kanpur Nagar
271245,Kudpan,2156,Myorpur,175,Sonbhadra
92492,Kudra,2190,Hilauli,177,Unnao
68818,Kudra Buzurg,1799,Konch,142,Jalaun
54277,Kudraha,1563,Kudaraha,122,Basti
60818,Kudrail,1667,Takha,130,Etawah
87139,Kudrasi,2103,Kalan,171,Shahjahanpur
70776,Kudri,1828,Bamaur,144,Jhansi
267174,Kudri Sarngpur,1683,Rajepur,132,Farrukhabad
78841,Kudsar Mu. Kop,1969,Ratanpura,159,Mau
51951,Kudwa,1530,Haidargarh,120,Barabanki
66558,Kudwa,1760,Jangal Kaudia,139,Gorakhpur
91653,Kudwar,2174,Kurwar,176,Sultanpur
62132,Kudwari,1688,Bahua,133,Fatehpur
271720,Kuee Kol,1762,Khajni,139,Gorakhpur
274232,Kuei,277620,Bharohiya,139,Gorakhpur
60819,Kueta,1667,Takha,130,Etawah
56026,Kuhera,1586,Gunnaur,259726,Sambhal
70327,Kuhiya,1821,Shah Ganj,143,Jaunpur
79958,Kuhki,1991,Patehra,161,Mirzapur
58355,Kui,1625,Manikpur,127,Chitrakoot
271168,Kuia,1898,Nebua Naurangia,151,Kushi Nagar
58959,Kuichavar,1635,Bhatpar Rani,128,Deoria
269042,Kuichawar,1633,Bhaluani,128,Deoria
269741,Kuin,1421,Kaudhiyara,111,Prayagraj
92196,Kuithar,2185,Bichhiya,177,Unnao
71528,Kuit Khera,1848,Akbarpur,147,Kanpur Dehat
71529,Kuit Mandir,1848,Akbarpur,147,Kanpur Dehat
60781,Kuiya,1666,Sefai,130,Etawah
67514,Kuiya,1777,Ahirori,141,Hardoi
84420,Kuiya,2066,Bilaspur,167,Rampur
87267,Kuiya,2106,Khutar,171,Shahjahanpur
61909,Kuiyadhir,1684,Shamsabad,132,Farrukhabad
242387,Kuiya E Kataiya,2104,Kanth,171,Shahjahanpur
76577,Kuiya Kanchanpur,1931,Mithaura,155,Maharajganj
89927,Kuiya Khera,2146,Pisawan,174,Sitapur
58832,Kuiyan,1633,Bhaluani,128,Deoria
68180,Kuiyan,1789,Pihani,141,Hardoi
68620,Kuiyan,1796,Dakore,142,Jalaun
77019,Kuiyan,1937,Siswa,155,Maharajganj
270110,Kuiyan Ja Kirtapur,2111,Sindhauli,171,Shahjahanpur
61911,Kuiyankhera,1684,Shamsabad,132,Farrukhabad
73646,Kuiyan Madarpur,1884,Mohammadi,150,Kheri
61910,Kuiyan Sant,1684,Shamsabad,132,Farrukhabad
53241,Kuiyan Uganpur,1548,Faridpur,121,Bareilly
267007,Kuiya Rampur,1545,Bhuta,121,Bareilly
76578,Kuiya Urf Maheshpur,1931,Mithaura,155,Maharajganj
48355,Kujaraw,1469,Tarwa,114,Azamgarh
84261,Kukaha Rampur,2063,Singhpur,584,Amethi
68986,Kukahnu,1802,Maheva,142,Jalaun
73092,Kukara,1876,Bankeyganj,150,Kheri
57639,Kukarait,1615,Berahani,126,Chandauli
68621,Kukar Gaon,1796,Dakore,142,Jalaun
76202,Kukargawan,1924,Sehpau,154,Hathras
80337,Kukar Jhundi,1997,Bhagatpur Tanda,162,Moradabad
46778,Kukarkat,1447,Erwa Katra,113,Auraiya
42755,Kukathala,1386,Achhnera,109,Agra
43267,Kukawar,1399,Saiyan,109,Agra
268345,Kukdikhera,2069,Saidnagar,167,Rampur
83560,Kukha,2048,Chhatoh,166,Rae Bareli
87364,Kukha Mahmoodpur,2109,Nigohi,171,Shahjahanpur
45066,Kukhuri,1424,Manda,111,Prayagraj
64910,Kuk Nagar Grint,1735,Babhanjot,138,Gonda
267448,Kukradev,1860,Chaubeypur,148,Kanpur Nagar
74979,Kukraha,1904,Vishunpura,151,Kushi Nagar
54990,Kukra Islampur,1573,Haldaur(Khari Jhalu),123,Bijnor
92252,Kukri,2186,Bighapur,177,Unnao
65228,Kukriha,1740,Itiathok,138,Gonda
82065,Kukrikhera,2025,Lalaurikhera,164,Pilibhit
265965,Kuktai,1922,Sadabad,154,Hathras
43234,Kukthari,1398,Pinahat,109,Agra
93173,Kukudha,2200,Chiraigaon,178,Varanasi
44800,Kukudhi,1421,Kaudhiyara,111,Prayagraj
271828,Kukudipur,1467,Sathiyaon,114,Azamgarh
69588,Kukuha,1811,Karanja Kala,143,Jaunpur
67975,Kukuhi,1785,Kachauna,141,Hardoi
64320,Kukura,1726,Manihari,137,Ghazipur
67689,Kukura,1780,Bharawan,141,Hardoi
49809,Kukurahan,1495,Chilkahar,117,Ballia
70876,Kukur Gaon,1830,Chirgaon,144,Jhansi
58960,Kukurghanti,1635,Bhatpar Rani,128,Deoria
73915,Kukurgoti,1888,Pasgawan,150,Kheri
44473,Kukurha,1416,Dhanupur,111,Prayagraj
66486,Kukurha,1759,Gola,139,Gorakhpur
44993,Kukurhata,1423,Koraon,111,Prayagraj
271834,Kukuri Pur,1464,Pawai,114,Azamgarh
48199,Kukur Sanda,1467,Sathiyaon,114,Azamgarh
267878,Kukuwakhas,1524,Tindwari,119,Banda
79291,Kulanjan,1980,Sardhana,160,Meerut
53297,Kulchha,1549,Fatehganj West,121,Bareilly
53466,Kulchha Khurd,1552,Mirganj,121,Bareilly
