district,parent_original_url,parent_wayback_timestamp,parent_sha256,url,label,download_status
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030279.pdf,Pradhan – Dewa,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030243.pdf,Pradhan – Harakh,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030286.pdf,Pradhan – Fatehpur,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030270.pdf,Pradhan – Haidergarh,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030231.pdf,Pradhan – Dariyabad,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030286-1.pdf,Pradhan – Suratganj,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030237.pdf,Pradhan – Siddhaur,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030238-1.pdf,Pradhan – Pure Dalai,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030235.pdf,Pradhan – Nindura,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030293.pdf,Pradhan – Trivediganj,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030269.pdf,Pradhan – Ramnagar,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030249.pdf,Pradhan – Sirauli Ghauspur,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030235-1.pdf,Pradhan – Banikodar,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030281.pdf,DDC,not_attempted
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,https://cdn.s3waas.gov.in/s3705f2172834666788607efbfca35afb3/uploads/2021/03/2021030240.pdf,Pramukh,not_attempted
Kanpur Dehat,https://kanpurdehat.nic.in/notice/panchayat-elections-2021-reservations-lists/,20210417000722,d00cf7e4130989c68b0a2fd281caebd7fff8a27a5108cd972e354f9f55298abf,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040422.pdf,View (998 KB),not_attempted
Kanpur Dehat,https://kanpurdehat.nic.in/notice/panchayat-elections-2021-reservations-lists/,20210417000722,d00cf7e4130989c68b0a2fd281caebd7fff8a27a5108cd972e354f9f55298abf,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040422.pdf,,not_attempted
Kanpur Dehat,https://kanpurdehat.nic.in/notice/panchayat-elections-2021-reservations-lists/,20210417000722,d00cf7e4130989c68b0a2fd281caebd7fff8a27a5108cd972e354f9f55298abf,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040417.pdf,प्रमुख 25-Mar-2021 18-35-53 (479 KB),not_attempted
Kanpur Dehat,https://kanpurdehat.nic.in/notice/panchayat-elections-2021-reservations-lists/,20210417000722,d00cf7e4130989c68b0a2fd281caebd7fff8a27a5108cd972e354f9f55298abf,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040417.pdf,,not_attempted
Kanpur Dehat,https://kanpurdehat.nic.in/notice/panchayat-elections-2021-reservations-lists/,20210417000722,d00cf7e4130989c68b0a2fd281caebd7fff8a27a5108cd972e354f9f55298abf,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040442-1.pdf,BDC AKB KNP D 25-Mar-2021 19-35-12(1) (4 MB),not_attempted
Kanpur Dehat,https://kanpurdehat.nic.in/notice/panchayat-elections-2021-reservations-lists/,20210417000722,d00cf7e4130989c68b0a2fd281caebd7fff8a27a5108cd972e354f9f55298abf,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040442-1.pdf,,not_attempted
Kanpur Dehat,https://kanpurdehat.nic.in/notice/panchayat-elections-2021-reservations-lists/,20210417000722,d00cf7e4130989c68b0a2fd281caebd7fff8a27a5108cd972e354f9f55298abf,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040437.pdf,BDC SRK Knp D 25-Mar-2021 19-29-52(1) (4 MB),not_attempted
Kanpur Dehat,https://kanpurdehat.nic.in/notice/panchayat-elections-2021-reservations-lists/,20210417000722,d00cf7e4130989c68b0a2fd281caebd7fff8a27a5108cd972e354f9f55298abf,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040437.pdf,,not_attempted
