collection,url,label,family_hint,year_hint,status,path,sha256,bytes,pages,retrieved_utc
.,https://images1.livehindustan.com/uploadimage/static/document/2021/03/02/ballia_1614706707.pdf,Ballia GP-head retrospective 1995-2015 and provisional 2021; newspaper-hosted government roster,mixed_or_unconfirmed,,ok_pdf,raw/e17ce24335a775b65365_4769b16fc47a.pdf,4769b16fc47ad32009ecb24129a3c34f73bd809121a6de9c48eeebccbbb7a7cf,28320310,50,2026-09-10T09:11:36.149127+00:00
.,https://kanpurdehat.nic.in/hi/notice/%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%BE%E0%A4%AF%E0%A4%A4-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8-2021-%E0%A4%86%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%A3/,Kanpur Dehat official reservation index dated 25 March 2021; GP-head block-head block-member and district-member,mixed_or_unconfirmed,,ok_html,raw/2140d4f8b2f990f0e4e6_f6140b8ce308.html,f6140b8ce3084231a206f35253146a845f8f10c369c846aee8b89b617908219e,134827,,2026-09-10T09:10:59.845482+00:00
.,https://sec.up.nic.in/ElecLive/,UP SEC live-results landing page for office and date context,mixed_or_unconfirmed,,http_error,raw/52f26d9ccd198276a502_e3b0c44298fc.bin,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,2026-09-10T09:11:35.817491+00:00
.,https://sec.up.nic.in/ElecLive/WinnerList.aspx,UP SEC live Kshetra Panchayat results table; source year and selected office require confirmation,mixed_or_unconfirmed,,ok_html,raw/33e19ce47707f31c1728_7557fcb33f31.html,7557fcb33f3175d919a3e7bdbb5591bc62f894c1f12a27d6cad2af1ae5cd82af,785770,,2026-09-10T09:11:08.306741+00:00
.,https://sec.up.nic.in/ElecLive/WinnerListZYC.aspx,UP SEC live ward-linked results table; source year and precise office require confirmation,mixed_or_unconfirmed,,ok_html,raw/158201e06e417a45ce28_ab9b5bda4aca.html,ab9b5bda4aca64e53eb1336d0a04f5ab37ceb6c0acfc697dfe52ba10be28f15e,1326379,,2026-09-10T09:11:22.697162+00:00
kanpur_dehat,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040410.pdf,Pradhan Rjp Knp D 25-Mar-2021 19-16-17(1) (2 MB),gp_head,2021,ok_pdf,kanpur_dehat/raw/a74cde9aa668e26a482c_06c3eb9ff868.pdf,06c3eb9ff86805d742e2c87ccf696e319ce0858bc8a88e72277ce47a37c9f12b,1802348,3,2026-09-10T09:14:44.758312+00:00
kanpur_dehat,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040412-1.pdf,BDC SNDLP KNP D 25-Mar-2021 19-44-43(1) (3 MB),block_member,2021,ok_pdf,kanpur_dehat/raw/956f48819515f0bd060a_aa5a65d13c42.pdf,aa5a65d13c42b1b773d0b7daf9e3f9b605d6dd73ac2d7c0205f854047cd47abc,3324390,5,2026-09-10T09:14:27.316991+00:00
kanpur_dehat,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040414.pdf,BDC MTH KNP D 25-Mar-2021 19-41-17(1) (4 MB),block_member,2021,ok_pdf,kanpur_dehat/raw/04b2f7beaa7055eee8ee_ed734a2223e8.pdf,ed734a2223e85d6df78a5528a531cc98eedb0f887f8c4660895cde8054b6e337,4567517,7,2026-09-10T09:14:20.959510+00:00
kanpur_dehat,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040417.pdf,प्रमुख 25-Mar-2021 18-35-53 (479 KB),block_head,2021,ok_pdf,kanpur_dehat/raw/8ced4a1d3a332793dd0a_2c532f7857d9.pdf,2c532f7857d944de962e99b92f7380bb91bca2627968425dc156bb3ab8be240c,490249,1,2026-09-10T09:14:06.446965+00:00
kanpur_dehat,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040422.pdf,देखें (998 KB),office_to_confirm,2021,ok_pdf,kanpur_dehat/raw/39fd10b0a13161c7055c_0a54ca951667.pdf,0a54ca95166785ce7752c96d6f6c282b8939172da0c53aa7bc1bd434ab5fd7a6,1021672,2,2026-09-10T09:14:06.446562+00:00
kanpur_dehat,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040437.pdf,BDC SRK Knp D 25-Mar-2021 19-29-52(1) (4 MB),block_member,2021,ok_pdf,kanpur_dehat/raw/3aeb2614f8da25cf8052_ccfa9cd01662.pdf,ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,4147622,7,2026-09-10T09:14:06.447405+00:00
kanpur_dehat,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040442-1.pdf,BDC AKB KNP D 25-Mar-2021 19-35-12(1) (4 MB),block_member,2021,ok_pdf,kanpur_dehat/raw/d24b54d3a25dd9241d67_b0af3d503dca.pdf,b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,4484013,7,2026-09-10T09:14:06.447085+00:00
kanpur_dehat,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040443-1.pdf,PRADHAN MTH KNP D 25-Mar-2021 19-48-10(1) (2 MB),gp_head,2021,ok_pdf,kanpur_dehat/raw/0b4a9dd009f0fff881a5_ef00c393e749.pdf,ef00c393e7490ab336a4ba11a6a9870dd306e2c577012d4d20b83588ee8fe0d9,2394968,4,2026-09-10T09:14:43.191878+00:00
kanpur_dehat,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040443.pdf,BDC DRP KNP D 25-Mar-2021 19-43-28(1) (2 MB),block_member,2021,ok_pdf,kanpur_dehat/raw/f1bb104b4b7cdc815367_1590e8065167.pdf,1590e80651676fadadb7a973f4b568aed4df887a9a82bb4beb93d2e6f6d72895,2375549,3,2026-09-10T09:14:16.539951+00:00
