district,original_url,wayback_timestamp,status,path,sha256,pages,first_page_native_characters,source_review_status
Sitapur,http://sitapur.nic.in:80/Reservation_pradhan/Reservation_pradhan.htm,20100924073506,ok_html,raw/8b94ea6718f23fd9d8e6_21ffd948f768.html,21ffd948f768fa379dcaa196306663d9a5c7ecb8ebe921771333fbd5a4f1ff3a,,,not_reviewed
Sitapur,http://sitapur.nic.in:80/Reservation_pradhan/Election%202010/BDC%20CHETRA%20PANCHAYAT.pdf,20100928113446,ok_pdf,raw/0df2ed118dc874203c5c_ae79974344f0.pdf,ae79974344f059ac5a19580bcbb05daeefbdf2c329e923ad149c2d7cf607a03d,47,1213,not_reviewed
Sitapur,http://sitapur.nic.in:80/Reservation_pradhan/Election%202010/Pradhan%20GP.pdf,20100928113509,ok_pdf,raw/50a5ab7fd0620118953a_1082e4316551.pdf,1082e4316551207ef4c358b1a18604513128cc8dc4cc5f8767aa9c98abdb2822,40,1724,not_reviewed
Sitapur,http://sitapur.nic.in:80/Reservation_pradhan/Election%202010/ZELA%20PANCHAYAT.pdf.....pdf,20100928113512,ok_pdf,raw/38befc8ce7dced591445_a0b46de2ebe2.pdf,a0b46de2ebe2ee41523b2694391833fe1d712a88f91ed9c732b2fa60f8da18be,3,3062,not_reviewed
Etah,http://etah.nic.in:80/ZP-reservation2010/PRADHAN-RESERVATION-2010.pdf,20101207092710,ok_pdf,raw/4ef7c2223a1030b9a888_53bfc78b35fb.pdf,53bfc78b35fb351dcf8f6fed54c3f07c0e51b51ea244266ed174e9ef3295fe29,121,1379,not_reviewed
Muzaffarnagar,http://muzaffarnagar.nic.in/panchayatelection/PDFs/reservation_of_ward_PrabudhNagar.pdf,20131013063351,ok_pdf,raw/1454ff43ad7017d6f9fb_0bd755d566d8.pdf,0bd755d566d8656fdc83f0bb780432f5c957832980be5652cdc4a416c4882634,6,0,not_reviewed
Muzaffarnagar,http://muzaffarnagar.nic.in:80/panchayatelection/PDFs/reservation_of_ward_MuzaffarNagar.pdf,20141121113851,ok_pdf,raw/e30622ebb3ed85b09c7b_f4df80a2c782.pdf,f4df80a2c782b074dd8b14b5f3cfb11d12382a107f87bca26c03562fbfb095fd,8,1495,not_reviewed
Pratapgarh,http://pratapgarh.nic.in:80/Panchayat_Reservation.html,20150914193159,ok_html,raw/253efc788093036ebde5_26101bee583a.html,26101bee583a89e85c6ce7f222214d3d22d4a183f7424d9edbd4be81a9b70519,,,not_reviewed
Bara Banki,https://barabanki.nic.in/panchayat-election-reservation-2021/,20210302135300,ok_html,raw/f3f05c67654bc72e7490_f6fc9cdc5b0c.html,f6fc9cdc5b0c9e8a033f3927afe861933752a40d2fc998de338cb605ae9dad4f,,,not_reviewed
Kanpur Dehat,https://kanpurdehat.nic.in/notice/panchayat-elections-2021-reservations-lists/,20210417000722,ok_html,raw/5bf7f3e5504de75508a0_d00cf7e41309.html,d00cf7e4130989c68b0a2fd281caebd7fff8a27a5108cd972e354f9f55298abf,,,not_reviewed
Baghpat,https://bagpat.nic.in/notice/gram-pradhan-reservation-2021/,20210419214438,ok_html,raw/e5537fe1833e499b1049_501d77c34f35.html,501d77c34f35a5427d2dd0851e6da97967ef25a9c51889061631e01dd32536c0,,,not_reviewed
Baghpat,https://bagpat.nic.in/notice/zila-panchayat-adhyaksh-members-reservation-2021/,20210419214645,ok_html,raw/57885b6f84c8361c4083_d04f6bfe75c7.html,d04f6bfe75c7ff6e30f94ce87ec19be4e495c9f48ea3752aac7784f7d8052f51,,,not_reviewed
Baghpat,https://bagpat.nic.in/notice/kshetra-panchayat-members-reservation-2021/,20210419223445,ok_html,raw/f0a35c3909e6878f9f75_8f9a929e698b.html,8f9a929e698b30a87866f9d8c1289bcba8b7ef1338eac8ec485d87611bd17164,,,not_reviewed
Baghpat,https://bagpat.nic.in/notice/kshetra-panchayat-pramukh-reservation-2021/,20210419225336,ok_html,raw/f5afbfa2c275a6d97110_98aa7787204a.html,98aa7787204a73327b288c776ea6d7163090304ab60a48f6f7d39c5948fb6325,,,not_reviewed
Mau,https://mau.nic.in/panchayat-election-2021-1995-2015-reservations-details/,20210512145506,ok_html,raw/e738b96b214899d097bd_bbde9e7ead24.html,bbde9e7ead24d33192527f584f94463389642fde124bbcb8bb035e3b008d3e37,,,not_reviewed
Mau,https://mau.nic.in/general-election-2021-reservation-details-of-panchayats/,20210612194820,ok_html,raw/ea263d05287a079c77cb_c0d1c88302df.html,c0d1c88302df417d4d2ad367419e701e299e5f152d8adac2332c65cf21995645,,,not_reviewed
Ghazipur,https://ghazipur.nic.in/hi/event/%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%BE%E0%A4%AF%E0%A4%A4-%E0%A4%9A%E0%A5%81%E0%A4%A8%E0%A4%BE%E0%A4%B5-%E0%A4%86%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%A3-%E0%A4%86%E0%A4%AA%E0%A4%A4%E0%A5%8D/,20220702013126,ok_html,raw/f0970b1af2d6fda630cc_3aab0584a5ad.html,3aab0584a5ad384deb9d59d33cde0ddc4cfb23636727d3fd3b8c37138d425e4a,,,not_reviewed
Kanpur Dehat,https://kanpurdehat.nic.in/hi/notice/%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%BE%E0%A4%AF%E0%A4%A4-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8-2021-%E0%A4%86%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%A3/,20220703234308,ok_html,raw/2ded2b7d192e4fb206bd_2ddd607be497.html,2ddd607be49712e4195ea4ef820d61c037ab6a96b8f22af9d46d3775b4b27495,,,not_reviewed
Bara Banki,https://barabanki.nic.in/hi/%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%BE%E0%A4%AF%E0%A4%A4-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8-%E0%A4%86%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%A3-2021/,20221203063155,ok_html,raw/05ece3d83566c5c19bb2_c130564c9f57.html,c130564c9f57f98124296c0f0b8efa0ab1bc0d02bebfec9f3ff162d37557a464,,,not_reviewed
Mau,https://mau.nic.in/en/general-election-2021-reservation-details-of-panchayats/,20221209013329,ok_html,raw/55b5745341a7c8c347e1_502f367bcb0d.html,502f367bcb0d6817d1652223bf2ebb7706fa77e0f0b077ee0788aac20f61d446,,,not_reviewed
Kasganj,https://kasganj.nic.in/document/notification-reservation-in-nagar-palika-parishad-and-nagar-panchayat/,20230929101113,ok_html,raw/7c1b21ad6d0066c51587_1b641066e6f4.html,1b641066e6f4573b9e6046fb0da2da9a21baab82dd3da27fc52f5e1d9d5e4be7,,,not_reviewed
