url,label,district,host,family,state,year_hint,discovered_on
https://web.archive.org/cdx/search/cdx?url=agra.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,Agra district CDX,Agra,agra.nic.in,district_cdx,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
https://web.archive.org/cdx/search/cdx?url=aligarh.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,Aligarh district CDX,Aligarh,aligarh.nic.in,district_cdx,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,Aligarh block directory,Aligarh,aligarh.nic.in,block_directory,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
https://web.archive.org/cdx/search/cdx?url=ambedkarnagar.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,Ambedkar Nagar district CDX,Ambedkar Nagar,ambedkarnagar.nic.in,district_cdx,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
https://igod.gov.in/index.php/district/YTg3tXQBW7DqAzx4Vrus/blocks,Ambedkar Nagar block directory,Ambedkar Nagar,ambedkarnagar.nic.in,block_directory,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
https://web.archive.org/cdx/search/cdx?url=amethi.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,Amethi district CDX,Amethi,amethi.nic.in,district_cdx,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
https://igod.gov.in/index.php/district/tDg3tXQBW7DqAzx4Vrqs/blocks,Amethi block directory,Amethi,amethi.nic.in,block_directory,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
https://web.archive.org/cdx/search/cdx?url=amroha.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,Amroha district CDX,Amroha,amroha.nic.in,district_cdx,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
https://igod.gov.in/index.php/district/ajg3tXQBW7DqAzx4Vr2t/blocks,Amroha block directory,Amroha,amroha.nic.in,block_directory,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
https://web.archive.org/cdx/search/cdx?url=auraiya.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,Auraiya district CDX,Auraiya,auraiya.nic.in,district_cdx,Uttar Pradesh,,https://igod.gov.in/index.php/sg/UP/E042/organizations
