district,host,query_url,receipt_status,response_path,response_sha256
Agra,agra.nic.in,https://web.archive.org/cdx/search/cdx?url=agra.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/34aaa7785e65e24b4535_c5ef039cfaa2.json,c5ef039cfaa2e6e8faf2dc3d2eae559d1380075ac3f835b986aac1c163812773
Aligarh,aligarh.nic.in,https://web.archive.org/cdx/search/cdx?url=aligarh.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/94de0c87642cde5a39d5_e921d716e637.json,e921d716e637fd2e1a5ca7b0ecb0e93ec390db262563b69a98ef21b25e900fa8
Ambedkar Nagar,ambedkarnagar.nic.in,https://web.archive.org/cdx/search/cdx?url=ambedkarnagar.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/b25ceaa3ac936999e4ca_003c4e7a18ae.json,003c4e7a18aec45d074babd843e713d7bb253e3775d475b539c591a548ef1a01
Amethi,amethi.nic.in,https://web.archive.org/cdx/search/cdx?url=amethi.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/e3b87bd1df87955058d8_193ad215b873.json,193ad215b8730d6b48bb13e63ddd0c3227f0346b3265fa3c3da93f968d7f7799
Amroha,amroha.nic.in,https://web.archive.org/cdx/search/cdx?url=amroha.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/401e94f805cdee15061d_5cba0743266c.json,5cba0743266c2a68badc2f625ae4a2d0d24f823fa7c991e9c09f7d6f1e9835c6
Auraiya,auraiya.nic.in,https://web.archive.org/cdx/search/cdx?url=auraiya.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/cc8fb82efb9f51092d47_3c4ddab15a2e.json,3c4ddab15a2e802958adcd4d4822566981c58c0e5b14d4bd720d969876482fcd
Ayodhya,ayodhya.nic.in,https://web.archive.org/cdx/search/cdx?url=ayodhya.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/d9d1acfed40e964adb37_3c098a1635f2.json,3c098a1635f259a5b25672f6214dc50831fa9269c83dd28c870dbf9ab50e60c8
Azamgarh,azamgarh.nic.in,https://web.archive.org/cdx/search/cdx?url=azamgarh.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/0d21845892f3d382222c_313427eccefc.json,313427eccefc7b83d10f75c4a48e18f0fc627d819cfc2edced30c3bb5af16adf
Baghpat,bagpat.nic.in,https://web.archive.org/cdx/search/cdx?url=bagpat.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/5c22f57ec51089df96dd_63462b8338cb.json,63462b8338cbca764d53ca244052e2ef884276a55fb8887a73ef1882bf96230f
Bahraich,bahraich.nic.in,https://web.archive.org/cdx/search/cdx?url=bahraich.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/5ea1b20c1bf4ae008eff_53147c65a0f2.json,53147c65a0f2368cefc904f61e9767512442e763e47f48d144748a35416bfd40
Ballia,ballia.nic.in,https://web.archive.org/cdx/search/cdx?url=ballia.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/9230fd38cde8941144e6_2dd97d585236.json,2dd97d5852362e784fe5dabfc710e1f67a106f8cfc6ec734701122d2958a19bb
Balrampur,balrampur.nic.in,https://web.archive.org/cdx/search/cdx?url=balrampur.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/468812cefbed4d29611c_7245fc128b70.json,7245fc128b700d16169eefb0200a9e4674a696d78abfa9714bd53a294ebbed41
Banda,banda.nic.in,https://web.archive.org/cdx/search/cdx?url=banda.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/1333a5720ebfbf046423_496842326dcd.json,496842326dcd1ecbfd297e22b8519d4f524f932c3988027e16b09e0329e3b71f
Bara Banki,barabanki.nic.in,https://web.archive.org/cdx/search/cdx?url=barabanki.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/63eb2d739302549a704f_ceaf765fed14.json,ceaf765fed14073286c4bc5ae020f163a51557a35803d1908a4a53f7e4ad94f3
Bareilly,bareilly.nic.in,https://web.archive.org/cdx/search/cdx?url=bareilly.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/fd6c2a5e1050d4bcacd2_f9801832e06c.json,f9801832e06cc83f3732673400637084413571891ed323c1a1d456cf66658ff3
Basti,basti.nic.in,https://web.archive.org/cdx/search/cdx?url=basti.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/dce3cc4ad24d9c6120cb_c8d6925852f1.json,c8d6925852f1cafcfea0a48ed56c52c6bd51a66384fb350c951e9335ffc43c47
Bhadohi,bhadohi.nic.in,https://web.archive.org/cdx/search/cdx?url=bhadohi.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/e6776589804cf7455b80_d80c706054a9.json,d80c706054a9d846b2ff8c369841e939761f1534b5e090ffc3d1321b769ecee8
Bijnor,bijnor.nic.in,https://web.archive.org/cdx/search/cdx?url=bijnor.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/9adb96bb19afb2871cf9_376213a6805a.json,376213a6805a9979d4eab4613bba5b1ce0f0050ca6265f443c56202f01afafb9
Budaun,budaun.nic.in,https://web.archive.org/cdx/search/cdx?url=budaun.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/d54cfe42732cd1054af7_cfa26ac69b08.json,cfa26ac69b087759a2b000f063e8fb02574446e96919252eb336606c813e1dcd
Bulandshahr,bulandshahar.nic.in,https://web.archive.org/cdx/search/cdx?url=bulandshahar.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/d9331ec1589ffe6e19ed_52c74cc70239.json,52c74cc702395b91a9beac7caeb2186438b7def1ff6462b75e7166a1c608542a
Chandauli,chandauli.nic.in,https://web.archive.org/cdx/search/cdx?url=chandauli.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/613a7abcff2539ad634b_35a6cedd17c5.json,35a6cedd17c5cb4caf8336d520f3af0ea61f4a8c8b134f4aa764076d215eb37d
Chitrakoot,chitrakoot.nic.in,https://web.archive.org/cdx/search/cdx?url=chitrakoot.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/f5d0999e804d9f500b93_761f379cfaa0.json,761f379cfaa0acfffdf4683e6c60eb3f9c59e8cdba0f050441e27d4efa906061
Deoria,deoria.nic.in,https://web.archive.org/cdx/search/cdx?url=deoria.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/d0ea18cbf41d55a64034_5023d428af48.json,5023d428af48cbdb75f49c90dd998fe79c1a66670293b8265248a935fd76c6a1
Etah,etah.nic.in,https://web.archive.org/cdx/search/cdx?url=etah.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/be85f0ef68cbe087395b_4b93728952de.json,4b93728952de4864f3ff679c345811313576ee60298ee94e596cc545541c889a
Etawah,etawah.nic.in,https://web.archive.org/cdx/search/cdx?url=etawah.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/51d36fa5e73fd95aefcf_5914e23d8592.json,5914e23d8592c94452a000d623d2c7e39566760c781b87e0cb4e1fd7945df078
Farrukhabad,farrukhabad.nic.in,https://web.archive.org/cdx/search/cdx?url=farrukhabad.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/b850bc1c56b848ea2c8b_2a8f140555a8.json,2a8f140555a8aff68ef9a4fe6925d21f46dbceceb3df2a02e6a4a7c1368dcfc7
Fatehpur,fatehpur.nic.in,https://web.archive.org/cdx/search/cdx?url=fatehpur.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,ok_json,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/181048f0ef972e3fe114_deab03946d89.json,deab03946d8903c298d8da168a4a1a2d45636313d77ff29144addefd0707cc02
