original,timestamp,mimetype,statuscode,digest,retrieval_source,query_scope,pdf_candidate,election_url_candidate,content_review_status
http://sec.up.nic.in:80/,20051220222726,text/html,200,6AMH3RTUDBHCVUR634WKAYT5HI23US6Z,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,false,false,not_reviewed
http://sec.up.nic.in/%E0%A4%B5%E0%A5%87%E0%A4%AC%E0%A4%B8%E0%A4%BE%E0%A4%87%E0%A4%9F,20221104025635,text/html,404,AS23RBWCBWELK7XKNWH7RATCJJFMDZI5,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,false,false,not_reviewed
http://sec.up.nic.in/(AMENDMENT)%20ACTS.htm,20090410044311,text/html,200,RTLQFJJZMSUJRTHCQS4LOBO2WOBPXMBM,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,false,false,not_reviewed
http://sec.up.nic.in:80/.../Up...Zila_panchayat.../Up_kp_Zp_1961_chap2_hindi.pdf,20120526104852,text/html,404,6BSJ7FEV2H2WNI7WSAACAUFYPAALJPHC,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,true,true,not_reviewed
http://sec.up.nic.in/?aspxerrorpath=%2FULBVoterRegistration%2FScriptResource.axd,20221104041303,text/html,302,MNBL44HGASGEW4NHMYCLHBHQXKN6OAJY,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,false,false,not_reviewed
http://sec.up.nic.in:80/act_rule.aspx,20140923105845,text/html,200,KPDXA3DHIWUTFJV5EK4CACHJNCV3QOUQ,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,false,false,not_reviewed
http://sec.up.nic.in/acts_rules.htm,20090410015453,text/html,200,DH2PULETVAPWHK6SU7TSS63CWHAMZBLV,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,false,false,not_reviewed
http://sec.up.nic.in/acts_rules/coi_english/Appendix_1.pdf,20090410051036,application/pdf,200,TF2ALQPDD6VE3RL3YYKEFORD26RHZBTQ,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,true,false,not_reviewed
http://sec.up.nic.in/acts_rules/coi_english/Appendix_2.pdf,20090410051245,application/pdf,200,AVYZZIAOMAHV7DYNRBNUS63C4IQROJZG,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,true,false,not_reviewed
http://sec.up.nic.in/acts_rules/coi_english/Appendix_3.pdf,20090410050758,application/pdf,200,IGGPN2JCILISN6SPLT5RXI4PSKKZWWKH,data/discovery/2026-09-10/archive_coverage/raw/6942fb48bec4f5e881b4_990d05df41bc.json,domain_urlkey_inventory_not_all_captures,true,false,not_reviewed
