original,timestamp,mimetype,statuscode,digest,district,host,response_path,response_sha256,pdf_candidate,election_url_candidate,url_year_hints,election_year_verified,priority_score,content_review_status,triage_basis
http://etah.nic.in:80/ZP-reservation2010/PRADHAN-RESERVATION-2010.pdf,20101207092710,application/pdf,200,QNB6YL2ESSLOFEDLFDQE24LUUA5WKV4K,Etah,etah.nic.in,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/be85f0ef68cbe087395b_4b93728952de.json,4b93728952de4864f3ff679c345811313576ee60298ee94e596cc545541c889a,True,True,2010,,32,not_reviewed,panchayat_and_reservation_in_url
http://muzaffarnagar.nic.in/panchayatelection/PDFs/reservation_of_ward_PrabudhNagar.pdf,20131013063351,application/pdf,200,DG2CVJB3Y52OHJG5M2C53JAGYXXKGZNQ,Muzaffarnagar,muzaffarnagar.nic.in,data/discovery/2026-09-10/archive_coverage/district_continuations/raw/377bcf291df5047ff159_f8fe8c00703c.json,f8fe8c00703c4a00fdc5342920b4e0be3d9611c3c216a674a750e1e1ac66a88c,True,True,,,32,not_reviewed,panchayat_and_reservation_in_url
http://muzaffarnagar.nic.in:80/panchayatelection/PDFs/reservation_of_ward_MuzaffarNagar.pdf,20141121113851,application/pdf,200,NM6VERJPP3T63IKV22OFDLXIHJDFNYJS,Muzaffarnagar,muzaffarnagar.nic.in,data/discovery/2026-09-10/archive_coverage/district_continuations/raw/377bcf291df5047ff159_f8fe8c00703c.json,f8fe8c00703c4a00fdc5342920b4e0be3d9611c3c216a674a750e1e1ac66a88c,True,True,,,32,not_reviewed,panchayat_and_reservation_in_url
http://sitapur.nic.in:80/Reservation_pradhan/Election%202010/BDC%20CHETRA%20PANCHAYAT.pdf,20100928113446,application/pdf,200,TAFXF3XEMECKASQEWLSPMRP6GC3Y4BMS,Sitapur,sitapur.nic.in,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/2522ca91892de82f9837_ee163d8c5faa.json,ee163d8c5faa041c8e34b8e4d6846f373d905065b13bbd033395cf0060517c33,True,True,2010,,32,not_reviewed,panchayat_and_reservation_in_url
http://sitapur.nic.in:80/Reservation_pradhan/Election%202010/Pradhan%20GP.pdf,20100928113509,application/pdf,200,KHTAO6PO6NKJ44W3UW5CSAQASDFL45KC,Sitapur,sitapur.nic.in,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/2522ca91892de82f9837_ee163d8c5faa.json,ee163d8c5faa041c8e34b8e4d6846f373d905065b13bbd033395cf0060517c33,True,True,2010,,32,not_reviewed,panchayat_and_reservation_in_url
http://sitapur.nic.in:80/Reservation_pradhan/Election%202010/ZELA%20PANCHAYAT.pdf.....pdf,20100928113512,application/pdf,200,COHNCNPNNJSYAPDAVJLPQAT53EMTYB3G,Sitapur,sitapur.nic.in,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/2522ca91892de82f9837_ee163d8c5faa.json,ee163d8c5faa041c8e34b8e4d6846f373d905065b13bbd033395cf0060517c33,True,True,2010,,32,not_reviewed,panchayat_and_reservation_in_url
https://bagpat.nic.in/notice/gram-pradhan-reservation-2021/,20210419214438,text/html,200,KJLQVGCVHMSU25PCGQWHRVQEXCGFY6JV,Baghpat,bagpat.nic.in,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/5c22f57ec51089df96dd_63462b8338cb.json,63462b8338cbca764d53ca244052e2ef884276a55fb8887a73ef1882bf96230f,False,True,2021,,30,not_reviewed,panchayat_and_reservation_in_url
https://bagpat.nic.in/notice/kshetra-panchayat-members-reservation-2021/,20210419223445,text/html,200,LDU6NYMF7DPF7CFZLZSHPDGYYXNGGHAV,Baghpat,bagpat.nic.in,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/5c22f57ec51089df96dd_63462b8338cb.json,63462b8338cbca764d53ca244052e2ef884276a55fb8887a73ef1882bf96230f,False,True,2021,,30,not_reviewed,panchayat_and_reservation_in_url
https://bagpat.nic.in/notice/kshetra-panchayat-pramukh-reservation-2021/,20210419225336,text/html,200,7GJ6M3VJEAG3CSR5KTQ2LZABK5PI4ZCP,Baghpat,bagpat.nic.in,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/5c22f57ec51089df96dd_63462b8338cb.json,63462b8338cbca764d53ca244052e2ef884276a55fb8887a73ef1882bf96230f,False,True,2021,,30,not_reviewed,panchayat_and_reservation_in_url
https://bagpat.nic.in/notice/zila-panchayat-adhyaksh-members-reservation-2021/,20210419214645,text/html,200,GPK5SNTF6BHOWYWOOOF7XT73KINPT252,Baghpat,bagpat.nic.in,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/5c22f57ec51089df96dd_63462b8338cb.json,63462b8338cbca764d53ca244052e2ef884276a55fb8887a73ef1882bf96230f,False,True,2021,,30,not_reviewed,panchayat_and_reservation_in_url
