url,label,state,year_hint,family
https://sec.up.nic.in/site/fonts/KPP_result_2010.pdf,SEC 2010 kshetra panchayat pramukh results,Uttar Pradesh,2010,block_head_results
https://sec.up.nic.in/site/fonts/zpm_result_2010.pdf,SEC 2010 zila panchayat member results,Uttar Pradesh,2010,zp_member_results
