url,label,state,year_hint,family,depth,parent_url,heading
https://sec.up.nic.in/site/fonts/KPP_result_2010.pdf,SEC 2010 kshetra panchayat pramukh results,Uttar Pradesh,2010,block_head_results,0,,
https://sec.up.nic.in/site/fonts/zpm_result_2010.pdf,SEC 2010 zila panchayat member results,Uttar Pradesh,2010,zp_member_results,0,,
