block,source_path,source_sha256,pages,source_url
Sandalpur,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/956f48819515f0bd060a_aa5a65d13c42.pdf,aa5a65d13c42b1b773d0b7daf9e3f9b605d6dd73ac2d7c0205f854047cd47abc,5,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040412-1.pdf
Maitha,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/04b2f7beaa7055eee8ee_ed734a2223e8.pdf,ed734a2223e85d6df78a5528a531cc98eedb0f887f8c4660895cde8054b6e337,7,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040414.pdf
Sarwankhera,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/3aeb2614f8da25cf8052_ccfa9cd01662.pdf,ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,7,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040437.pdf
Akbarpur,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/d24b54d3a25dd9241d67_b0af3d503dca.pdf,b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,7,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040442-1.pdf
Derapur,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/f1bb104b4b7cdc815367_1590e8065167.pdf,1590e80651676fadadb7a973f4b568aed4df887a9a82bb4beb93d2e6f6d72895,3,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040443.pdf
Rajpur,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/e64134467c1d874ebd64_b93352f41330.pdf,b93352f41330658c9be3f13a2d1f32b96ce94ebe87f62cd0902d3bdd1e68dd6f,6,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040462.pdf
Amraudha,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/45e8b6c121fcba9e2b2b_78bedb3bd3f2.pdf,78bedb3bd3f2de11befaf11b59bf523f1a288612b41230d21ff58b45efa35925,4,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040464.pdf
Rasulabad,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/3dedd215a02710a7a602_e99f3182ef06.pdf,e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,8,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040486.pdf
Malasa,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/a7aeaebbc3582d04751f_647fea96a978.pdf,647fea96a9789b33c0851261ebc73ab431d7ff059077a44b184a9d4e29cb6289,5,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040491.pdf
Jhinjhak,data/discovery/2026-09-10/parallel_search/kanpur_dehat/raw/56216c4e810ba8d11462_4ddc1733b688.pdf,4ddc1733b688d650e77e501f7718b2148ea0cf81f26aa92cecaf16723f9fe2f3,4,https://cdn.s3waas.gov.in/s30e65972dce68dad4d52d063967f0a705/uploads/2021/04/2021040493.pdf
