0
""
कसेरूआकला
नौतार जंगल
पिदौरा
करेमुवा
भाय
बिसवां
अनुसूचित जाति महिला - अनुसूचित जाति
कदनपुर
रहपुरा
ओरम्हा
कुढ़ा
  बिन्दौर  मौहारी
ललवा
दाऊदपुर
उज्जीखोर
कुंचेदू
विक्रमपुर न ० कचंन
धूरीटीकर
भडाईपुर
वेलभरिया
रानीवारी
सलावतपुर भूड़
बड़हा
सुरजनपुर
बखोपुर
सपहा  दुर्जनपुर
रम्पुरिया न्यूरिया
दबतोरी
वेलवरिया
यादवपुर
खुर्जा देहात
दरौरा
चक अजीज उर्फ वीरा
मुडवल
चन्द्रावाँ
भटपुरवां
डूहाँबिहरा
मरहमताबाद
जमालपुर बांगर
छीही
मायापुर इमिलियां
ज्ञानपुर मंगोला ( कोयल
अलीपुर दादर
मसिजदिया
रजडेखा थारू
नगलासूदन
सालपुर नवदिया
तुरतपुर
निलौनी शाहपुर
मडवाहसनपुर
इस्लामगंज
डडौना
बरमूपुर
लालपुरगोसाई
कूंची खेडा
महिला अनुसूचित जाति पुरुष अनुसूचित जाति महिला पिछड़ी जाति
सरैयां कादीपुर
टाहमदन
सैम्बसी
लोहरामऊ
सुकरौली पाण्डेय
खिजिरपुर कैलई
भरथांव
भोपलापुर
तुर्कललैइया
बुड़हरखुर्द
खनियारा
बैसूपाली
तिलैरा
भिखारीपुर
चिरोला
दिघौटा
हरवंशपुर
मनकौरा
वरखेड़ा जयपाल
किसवाही
हण्डिया
तरदहा
रसीदपुर मई
सीकरी
माया सूर्यनाथ
चकदाउद
नंगली आजमाबाद
घघरूआ खडेसर
इमिलिया बुजुर्ग
मनकुआं
रायपुर खादर
रामपुर प्यारे
फतेहपुर
शाहनगर
बरवाक्रपाल
नल्हूपुर
मध्यनगर
ओड़ाझार
चिल्ली
पमेधिया
भैनगांव
चिरोडी
केशौपुर ता ० घुंघचिहाः
अम्बियापुर
पिपरा बाजार
बंगलहा
धिरौली पाण्डेय
नन्दलाल छपरा
हरियांव
देवरिया बुजुर्ग
फतुही
मैल्हापुर
गोगांवा
रकबाजंगलीपट्टी
मागरौलजाट
कुतुबपुर नया बास
ढांसरी
दौदुआ गोपालपुर
वहादुर
मल्हपुर सिधारी
कसेरूवा
बेलवा कर्मडीह
बालापुर
बदरका
गोधा
कसमरिया
सराय जरैलिया
वरीसलाहपुर
सिरसियाँ गोठा
तेलमाजमालुद्दीनपुर
सिहारीदाउदपुर
कांपा
रैपुरा
इदरीशपुर
रजऊपरसपुर
गंगवाई पठनान
खडकुडिया नानकार
इकौंदा
नरायन पुर कला
लालपुर टीकर
बम्भौली
भरथिया कादीपुर
सुर्जीपारा
सीतापट्टी
कटौल
अहुगीकला
गोजनी मिलक
कुइत मन्दिर
दिहौली
भुजराई
बबिता कु O योगेन्द्र सिंह
ओदरा
सेमरा
मझरिया कला
परसिया कला
एकरामपुर
सैनी
मेहनवन
महोबरा
पाता ( कन्हों )
दाहोड
कुदरासी
जलालपुरपरशुरामपुर
सादात विन्दुली
कोरैया लोहरेना
 दतौली  रोशननगर
शील्हापुर
भदवाँ
पलिया शम्भूपुर
नेवादा दुर्गविजय
मनिकरपुर
रामपुरमंगुराडिला
सट्टी
घराँव
बमनपुर
पीपला जागीर
रायपुरमई
पैगा भीकमपुर
थापमहद्वारी
शोभना
कल्यानपुर कचरौली
खागीपुर सडवा
जलालपुर खालसा
कनौना
पड़रिया कला
नव  महमूदपुर
सठेडी
हामिद नगर
चित्सौन
सनगाँव
 पिथूपुर मेहदिया
जमरावां
फतेहपुरा
कैथोला
खलवापटटी
वीरपुरा
पालपुर वैरागीखेड़ा
गझाड़ा
चाफ
मिलक नो खरीद
सुल्तानपुर नवापुरा
जौराखेडा
बल्देवनगर
शिवपुर बु 
मझौआ हेतराम
शहबाजपुर
भोगाजीत नगरिया
अण्डेला
वरतनिया
दरगाह
हिडइन
मड़वाना
बड़सरा आयमा
भड़रा उमरगंज
महाबीर कलावती
मलेहटा
करहल
टिकरी कला
गढ़िया सिकन्दरा
खिरई खिरवा
जाफना बेगम
रजौली बुजुर्ग
सिकटिया
तीतरो देहात
हड़ियागाड़ा
असई
सिरोंधन
भगेली
नगई
खरकामाफ
हसनपुर चकमंसूर
मलेरा
जंगरोली आशा
धरभंगदपुर
समन्था
कमालपुर
बस्तीपुर
कटयां
अत्तानगर
राजदेई शेषकुमारी
अरविन्द कुमार महिला मायादेवी
रणदेवा
चनेटा
परसा उर्फ अगलवहां
जामूडीह
आसीवन तरफ सिद्धना
कूड़ा माफी
समदी
सिंगहा युसुफपुर
जरैना
परसोत्तमपुर
जसमढी
वरूआ रसूलपुर
सारंगपुर
शेषपुर बुजुर्ग
गोनी
बरेला तिगावां
रामपुर चौबे
छिछोरी
खिंदडियां
पसगवाँ
शमसाबाद
खर्गसेनपुर
चैनपुरा
ओम प्रकाश  नीलम
सलेमपुर
जंगल लुअठवा
चकदीना खा
पूरे देवजानी
मल्लाहनगर
रहीमनगर पड़ियाना
कैन्दुकी
अगासंड
लखनपुर करन
बालेपुर कला
मनोहरपुर
खटहरा
मौरापारा
कुमार  राम दत्त वर्मा
वसलीपुर ग्रन्ट
आसमपुर
नवादा ता O वानगांव
भंवी बसा टिकरी
परियावा
करीमनगर
जं  धर्मपुर
दुलखाड़ा
बेलई बुजुर्ग
करमसखेडी
गारोपुर
महादेव अतरपरी
लाडलेपुर
मिल्की
मुजफ्फरपुर
पालपुर
खैरपुर
चकौली
जलालपुर माफी
मझटेनी
पीपली अहीर
