url,label,host,state,family,year_hint,parent_query,resume_key,depth,parent_url,heading
https://web.archive.org/cdx/search/cdx?url=agra.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJzLzNPJy0zWSUwvStTUT81JTS7JzM_TT8vMSS3WN7A01M-r1CtISVMwMjA0MTA3MjawNLAwNQQA4rMQIw,agra.nic.in CDX continuation,agra.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=agra.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJzLzNPJy0zWSUwvStTUT81JTS7JzM_TT8vMSS3WN7A01M-r1CtISVMwMjA0MTA3MjawNLAwNQQA4rMQIw,0,,
https://web.archive.org/cdx/search/cdx?url=aligarh.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJwFwVEKgCAMANCr9BtILplSH9FZhlEtdJNm9-89FiecHRW-6L1Hf9SHpHIh8dapf8Zy6kTW9qy1iW4YUxoCwAo4QwCMsPxTeRZm,aligarh.nic.in CDX continuation,aligarh.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=aligarh.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJwFwVEKgCAMANCr9BtILplSH9FZhlEtdJNm9-89FiecHRW-6L1Hf9SHpHIh8dapf8Zy6kTW9qy1iW4YUxoCwAo4QwCMsPxTeRZm,0,,
https://web.archive.org/cdx/search/cdx?url=ghaziabad.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJzLzNPJy0zWSc9IrMpMTEpM0dQvL9DNKs7P089PzU1KTdE31DPQB7PsS4tybDNKSgqKrfT14er1gLr1MvP0U_P001JTU5ISk7P1FYwMjAwMTAyMDI0MLA0NAcyHIK8,ghaziabad.nic.in CDX continuation,ghaziabad.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=ghaziabad.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJzLzNPJy0zWSc9IrMpMTEpM0dQvL9DNKs7P089PzU1KTdE31DPQB7PsS4tybDNKSgqKrfT14er1gLr1MvP0U_P001JTU5ISk7P1FYwMjAwMTAyMDI0MLA0NAcyHIK8,0,,
https://web.archive.org/cdx/search/cdx?url=ghazipur.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJzLzNPJy0zWSc9IrMosKC3S1M_Jzy5LzMvULy4p0M9PS8tMTi0qzyxONYpPSS1JzMzRSywusAeKJ-enpNoaWpgoGBkYWBqYGBoYGhpamJoCAJBNGrU,ghazipur.nic.in CDX continuation,ghazipur.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=ghazipur.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJzLzNPJy0zWSc9IrMosKC3S1M_Jzy5LzMvULy4p0M9PS8tMTi0qzyxONYpPSS1JzMzRSywusAeKJ-enpNoaWpgoGBkYWBqYGBoYGhpamJoCAJBNGrU,0,,
https://web.archive.org/cdx/search/cdx?url=gonda.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJzLzNPJy0zWSc_PS0nU1M_Jzy5LzMvULy5JLCktzsxLy9dLLC6wT87PLcjLtzUyNjBVMDIwsDQwMTQ0MDM2NjECANPFFGU,gonda.nic.in CDX continuation,gonda.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=gonda.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJzLzNPJy0zWSc_PS0nU1M_Jzy5LzMvULy5JLCktzsxLy9dLLC6wT87PLcjLtzUyNjBVMDIwsDQwMTQ0MDM2NjECANPFFGU,0,,
https://web.archive.org/cdx/search/cdx?url=gorakhpur.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJzLzNPJy0zWSc8vSszOKCgt0tQvyy9JLcrJLC7RNzQz1s8tApIGRqZmegUpaQpGBgbmhkaGpobGRgZGRgBuTxID,gorakhpur.nic.in CDX continuation,gorakhpur.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=gorakhpur.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJzLzNPJy0zWSc8vSszOKCgt0tQvyy9JLcrJLC7RNzQz1s8tApIGRqZmegUpaQpGBgbmhkaGpobGRgZGRgBuTxID,0,,
https://web.archive.org/cdx/search/cdx?url=hardoi.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJzLzNPJy0zWyUgsSsnP1NTPyc8uS8zL1C8uSSwpLc7MS8vXSywusE_Ozy3Iy7c1szQ1sVAwMjAwNzQyMjYEEibGAATgFRQ,hardoi.nic.in CDX continuation,hardoi.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=hardoi.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJzLzNPJy0zWyUgsSsnP1NTPyc8uS8zL1C8uSSwpLc7MS8vXSywusE_Ozy3Iy7c1szQ1sVAwMjAwNzQyMjYEEibGAATgFRQ,0,,
https://web.archive.org/cdx/search/cdx?url=jhansi.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJzLzNPJy0zWycpIzCvO1NQvKE3KyUzWLS3JzMksqdQvSszLLCgtUjAyMDIwsDSyBNIWxmYA8F0RHA,jhansi.nic.in CDX continuation,jhansi.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=jhansi.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJzLzNPJy0zWycpIzCvO1NQvKE3KyUzWLS3JzMksqdQvSszLLCgtUjAyMDIwsDSyBNIWxmYA8F0RHA,0,,
https://web.archive.org/cdx/search/cdx?url=kannauj.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJzLzNPJy0zWyU7My0sszdLULy_QzcxLzilNSS3WzwKiwtLUokoopZdVbF-WWmRrqGdopGeiYGRgaGFgZmhiYAxEpgDHphec,kannauj.nic.in CDX continuation,kannauj.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=kannauj.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJzLzNPJy0zWyU7My0sszdLULy_QzcxLzilNSS3WzwKiwtLUokoopZdVbF-WWmRrqGdopGeiYGRgaGFgZmhiYAxEpgDHphec,0,,
https://web.archive.org/cdx/search/cdx?url=kanpurdehat.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=50000&showResumeKey=true&resumeKey=eJzLzNPJy0zWyU7MKygtSknNSCzR1M8rLtZPSizOTC5IrNQvTs1JTS6JT80t0EssLrAH0vHJ-SmptkYGhgpGBgaWBiaGBobGRuYG5gAW7xkZ,kanpurdehat.nic.in CDX continuation,kanpurdehat.nic.in,Uttar Pradesh,district_cdx_continuation,,https://web.archive.org/cdx/search/cdx?url=kanpurdehat.nic.in&matchType=domain&output=json&fl=original%2Ctimestamp%2Cmimetype%2Cstatuscode%2Cdigest&collapse=urlkey&limit=5000&showResumeKey=true,eJzLzNPJy0zWyU7MKygtSknNSCzR1M8rLtZPSizOTC5IrNQvTs1JTS6JT80t0EssLrAH0vHJ-SmptkYGhgpGBgaWBiaGBobGRuYG5gAW7xkZ,0,,
