election_gp_key,election_year,source_file,source_row_number,source_record_id,gp_number_raw,district_name_hindi,district_name_eng_raw,district_name_eng,district_name_std_raw,district_name_alias_used,block_name_hindi,block_name_eng_raw,block_name_eng,block_name_std_raw,block_xwalk_used,block_name_alias_used,lgd_block_code,gp_name_hindi,lgd_gp_code,lgd_gp_name,lgd_gp_link_method,lgd_gp_link_score,lgd_gp_linked,gp_name_eng_raw,gp_name_eng,name_override_used,district_name_std,block_name_std,gp_name_std,normalized_name_key,normalized_name_key_n,link_eligible,reservation_status_hindi,reservation_status_eng,reservation_class,women_reserved,pradhan_name_hindi,pradhan_name_eng_raw,winner_sex_hindi,winner_woman,result_status_hindi,exception_reason
up2005__row11821,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,11821,NA,36,मथुरा,Mathura,Mathura,mathura,FALSE,छाता,Chhata,Chhata,chhata,FALSE,FALSE,NA,गुहेत  बिस्सा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,mathura,chhata,NA,NA,NA,FALSE,महिला,Female,general,1,रामवती,Ramwati,महिला,1,NA,missing_normalized_component
up2005__row14993,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,14993,NA,83,फरुखाबाद,Farrukhabad,Farrukhabad,farrukhabad,FALSE,कमालगंज,Kamalganj,Kamalganj,kamalganj,FALSE,FALSE,NA,ळ्  जहागीरपुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,farrukhabad,kamalganj,NA,NA,NA,FALSE,अनारक्षित,Unreserved,general,0,अब्बास गंगादेवी,Abbas Ganga Devi,महिला,1,NA,missing_normalized_component
up2005__row14994,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,14994,NA,84,फरुखाबाद,Farrukhabad,Farrukhabad,farrukhabad,FALSE,कमालगंज,Kamalganj,Kamalganj,kamalganj,FALSE,FALSE,NA,ळ  अहिमलापुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,farrukhabad,kamalganj,NA,NA,NA,FALSE,महिला,Female,general,1,गंगादेवी शांतीदेवी,Gangadevi Shantidevi,महिला,1,NA,missing_normalized_component
up2005__row15689,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,15689,NA,22,इटावा,Itawah,Etawah,itawah,TRUE,भरथना,Bharathana,Bharathana,bharathana,FALSE,FALSE,NA,"अकबरपुर , दौलतपुर",NA,NA,NA,NA,FALSE,NA,NA,FALSE,etawah,bharathana,NA,NA,NA,FALSE,अनुसूचित जाति,Scheduled Caste,sc,0,कमलेश चन्द्र,Kamlesh Chandra,पुरुष,0,NA,missing_normalized_component
up2005__row16067,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,16067,NA,18,औरैया,Auraiya,Auraiya,auraiya,FALSE,अजीतमल,Ajitmal,Ajitmal,ajitmal,FALSE,FALSE,NA,सॉफर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,auraiya,ajitmal,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,यतीन्द्र सिंह,Yatindra Singh,पुरुष,0,NA,missing_normalized_component
up2005__row16071,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,16071,NA,22,औरैया,Auraiya,Auraiya,auraiya,FALSE,अजीतमल,Ajitmal,Ajitmal,ajitmal,FALSE,FALSE,NA,वेरधि नगर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,auraiya,ajitmal,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,मनोरमा,Manorama,महिला,1,NA,missing_normalized_component
up2005__row17250,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,17250,NA,4,कानपुर देहात,Kanpur Dehat,Kanpur Dehat,kanpur dehat,FALSE,मलासा,Malasa,Malasa,malasa,FALSE,FALSE,NA,सिथरा बुजर्ग सिथरा खर्द,NA,NA,NA,NA,FALSE,NA,NA,FALSE,kanpur dehat,malasa,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,कुमारी चन्द्र,Kumari Chandra,पुरुष,0,NA,missing_normalized_component
up2005__row17252,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,17252,NA,6,कानपुर देहात,Kanpur Dehat,Kanpur Dehat,kanpur dehat,FALSE,मलासा,Malasa,Malasa,malasa,FALSE,FALSE,NA,वरूआ रसूलपुर दोहरापुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,kanpur dehat,malasa,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,NA,NA,पुरुष,0,NA,missing_normalized_component
up2005__row17282,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,17282,NA,36,कानपुर देहात,Kanpur Dehat,Kanpur Dehat,kanpur dehat,FALSE,मलासा,Malasa,Malasa,malasa,FALSE,FALSE,NA,विदखुरी  सुखसौरा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,kanpur dehat,malasa,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,सिंह,Singh,पुरुष,0,NA,missing_normalized_component
up2005__row17283,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,17283,NA,37,कानपुर देहात,Kanpur Dehat,Kanpur Dehat,kanpur dehat,FALSE,मलासा,Malasa,Malasa,malasa,FALSE,FALSE,NA,सुखसौरा  लवरसी,NA,NA,NA,NA,FALSE,NA,NA,FALSE,kanpur dehat,malasa,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,सिंह,Singh,पुरुष,0,NA,missing_normalized_component
up2005__row17284,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,17284,NA,38,कानपुर देहात,Kanpur Dehat,Kanpur Dehat,kanpur dehat,FALSE,मलासा,Malasa,Malasa,malasa,FALSE,FALSE,NA,लवरसी  सिहारी,NA,NA,NA,NA,FALSE,NA,NA,FALSE,kanpur dehat,malasa,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,NA,NA,पुरुष,0,NA,missing_normalized_component
up2005__row17285,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,17285,NA,39,कानपुर देहात,Kanpur Dehat,Kanpur Dehat,kanpur dehat,FALSE,मलासा,Malasa,Malasa,malasa,FALSE,FALSE,NA,सिहारी  कछगाँव,NA,NA,NA,NA,FALSE,NA,NA,FALSE,kanpur dehat,malasa,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,NA,NA,पुरुष,0,NA,missing_normalized_component
up2005__row19103,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,19103,NA,12,महोबा,Mahoba,Mahoba,mahoba,FALSE,जैतपुर,Jaitpur,Jaitpur,jaitpur,FALSE,FALSE,NA,सगुनियांमाफ,NA,NA,NA,NA,FALSE,NA,NA,FALSE,mahoba,jaitpur,NA,NA,NA,FALSE,महिला,Female,general,1,रानू देवी,Ranu Devi,NA,NA,NA,missing_normalized_component
up2005__row19131,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,19131,NA,40,महोबा,Mahoba,Mahoba,mahoba,FALSE,जैतपुर,Jaitpur,Jaitpur,jaitpur,FALSE,FALSE,NA,बगवाहा गौलिया,NA,NA,NA,NA,FALSE,NA,NA,FALSE,mahoba,jaitpur,NA,NA,NA,FALSE,"अनारक्षित
अनारक्षित",NA,unknown,NA,राम कुमार,Ram Kumar,पुरुष,0,NA,missing_normalized_component
up2005__row20305,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,20305,NA,20,फतेहपुर,Fatehpur,Fatehpur,fatehpur,FALSE,खजुहा,Khajooha,Khajooha,khajooha,FALSE,FALSE,NA,खूंटा  गोपालपुर घघौरा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,fatehpur,khajooha,NA,NA,NA,FALSE,अनुसूचित जाति,Scheduled Caste,sc,0,का नाम,Ka Nam,NA,NA,NA,missing_normalized_component
up2005__row20306,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,20306,NA,21,फतेहपुर,Fatehpur,Fatehpur,fatehpur,FALSE,खजुहा,Khajooha,Khajooha,khajooha,FALSE,FALSE,NA,गोपालपुर घघौरा  सुल्तानगढ़,NA,NA,NA,NA,FALSE,NA,NA,FALSE,fatehpur,khajooha,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,श्याम सुन्दर छेदिया,Shyam Sundar Chedia,NA,NA,NA,missing_normalized_component
up2005__row20307,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,20307,NA,22,फतेहपुर,Fatehpur,Fatehpur,fatehpur,FALSE,खजुहा,Khajooha,Khajooha,khajooha,FALSE,FALSE,NA,सुल्तानगढ़  रेवरी,NA,NA,NA,NA,FALSE,NA,NA,FALSE,fatehpur,khajooha,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,छेदिया उमा देवी,Chhediya Uma Devi,पुरुष,0,NA,missing_normalized_component
