election_gp_key,election_year,source_file,source_row_number,source_record_id,gp_number_raw,district_name_hindi,district_name_eng_raw,district_name_eng,district_name_std_raw,district_name_alias_used,block_name_hindi,block_name_eng_raw,block_name_eng,block_name_std_raw,block_xwalk_used,block_name_alias_used,lgd_block_code,gp_name_hindi,lgd_gp_code,lgd_gp_name,lgd_gp_link_method,lgd_gp_link_score,lgd_gp_linked,gp_name_eng_raw,gp_name_eng,name_override_used,district_name_std,block_name_std,gp_name_std,normalized_name_key,normalized_name_key_n,link_eligible,reservation_status_hindi,reservation_status_eng,reservation_class,women_reserved,pradhan_name_hindi,pradhan_name_eng_raw,winner_sex_hindi,winner_woman,result_status_hindi,exception_reason
up2005__row886,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,886,NA,17,मुज्जफरनगर,Muzzafarnagar,Muzaffarnagar,muzzafarnagar,TRUE,खतौली,Khatauli,Khatauli,khatauli,FALSE,FALSE,NA,"श , तिगाई",NA,NA,NA,NA,FALSE,NA,NA,FALSE,muzaffarnagar,khatauli,NA,NA,NA,FALSE,अनारक्षित,Unreserved,general,0,चरण सिंह,Charan Singh,पुरुष,0,NA,missing_normalized_component
up2005__row2347,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,2347,NA,58,गाजियाबाद,Ghaziabad,Ghaziabad,ghaziabad,FALSE,हापुड,Hapur,Hapur,hapur,FALSE,FALSE,NA,दोमयी जरौठी,NA,NA,NA,NA,FALSE,NA,NA,FALSE,ghaziabad,hapur,NA,NA,NA,FALSE,अनुसूचित जाति महिला,Scheduled Caste - Female,sc,1,विद्या,Vidya,महिला,1,NA,missing_normalized_component
up2005__row2727,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,2727,NA,40,गौतम बुद्ध नगर,Gautam Buddha Nagar,Gautam Buddha Nagar,gautam buddha nagar,FALSE,जेवर,Jewar,Jewar,jewar,FALSE,FALSE,NA,भगवन्लपुर छातंगा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,gautam buddha nagar,jewar,NA,NA,NA,FALSE,अनारक्षित,Unreserved,general,0,रतन लाल,Ratan Lal,पुरुष,0,NA,missing_normalized_component
up2005__row4110,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,4110,NA,55,बिजनौर,Bijnaur,Bijnor,bijnaur,TRUE,किरतपुर,Kiratpur,Kiratpur,kiratpur,FALSE,FALSE,NA,मिर्जापुर  मेमन सादात,NA,NA,NA,NA,FALSE,NA,NA,FALSE,bijnor,kiratpur,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,महिला मुन्नी देवी जमिल अ ०,NA,पुरुष,0,NA,missing_normalized_component
up2005__row5738,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,5738,NA,33,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,पंवासा,Panwasa,Panwasa,panwasa,FALSE,FALSE,NA,आदौल,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,panwasa,NA,NA,NA,FALSE,महिला,Female,general,1,विमला,Vimla,महिला,1,NA,missing_normalized_component
up2005__row6066,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6066,NA,51,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,सदरपुर  छजलैट,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,गजराज रानी,NA,महिला,1,NA,missing_normalized_component
up2005__row6069,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6069,NA,54,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,कुरी खाना  छज्जुपुरा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,पूरन कमला देवी,Puran Kamala Devi,महिला,1,NA,missing_normalized_component
up2005__row6070,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6070,NA,55,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,छज्जुपुरा  महेन्द्री,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,कमला देवी सुमन देवी,Kamla Devi Suman Devi,महिला,1,NA,missing_normalized_component
up2005__row6071,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6071,NA,56,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,महेन्द्री  खुशहालपुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,पिछड़ी जाति महिला,Other Backward Class - Female,obc,1,सुमन देवी गीता देवी,Suman Devi Gita Devi,महिला,1,NA,missing_normalized_component
up2005__row6072,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6072,NA,57,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,खुशहालपुर  भीकनपुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,महिला,Female,general,1,गीता देवी,Gita Devi,पुरुष,0,NA,missing_normalized_component
up2005__row6073,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6073,NA,58,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,भीकनपुर  शाहपुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,वुनियाद हरचरन,Vuniad Harcharan,पुरुष,0,NA,missing_normalized_component
up2005__row6074,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6074,NA,59,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,शाहपुर  सराय खजूर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,अनुसूचित जाति,Scheduled Caste,sc,0,हरचरन मीना,Har Charan Meena,महिला,1,NA,missing_normalized_component
up2005__row6076,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6076,NA,61,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,बीबीपुर  संदलीपुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,पिछड़ी जाति - महिला,Other Backward Class - Female,obc,1,कमला देवी वीरवती,Kamla Devi Veeravati,महिला,1,NA,missing_normalized_component
up2005__row6077,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6077,NA,62,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,संदलीपुर  मानपुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,वीरवती विनोद कुमारी,Virvati Vinod Kumari,महिला,1,NA,missing_normalized_component
up2005__row6078,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6078,NA,63,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,मानपुर  लदावली,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,अनुसूचित जाति महिला,Scheduled Caste - Female,sc,1,विनोद कुमारी ओमवती,Vinod Kumari Omvat,महिला,1,NA,missing_normalized_component
up2005__row6079,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6079,NA,64,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,बैरमपुर  सलावा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,ओमवती चन्द्रकला मुनिदेव,omwati chandra kala munidew,महिला,1,NA,missing_normalized_component
up2005__row6081,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6081,NA,66,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,अन्यारी उर्फ अलीनग,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,महिला,Mahila,महिला,1,NA,missing_normalized_component
up2005__row6085,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6085,NA,70,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,सुलतानपुर फुलैदा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,पुरुष,Men,NA,NA,NA,missing_normalized_component
up2005__row6087,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6087,NA,72,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,मुण्डाला मौ  जमांपुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,महिला,Mahila,महिला,1,NA,missing_normalized_component
up2005__row6088,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6088,NA,73,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,गोपालपुर नत्था,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,महिला,Mahila,महिला,1,NA,missing_normalized_component
up2005__row6089,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6089,NA,74,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,बरखेडा बसन्तपुर उर्फ,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,महिला,Mahila,महिला,1,NA,missing_normalized_component
up2005__row6091,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6091,NA,76,मुरादाबाद,Muradabad,Moradabad,muradabad,TRUE,छजलैट,Chhajlait,Chhajlait,chhajlait,FALSE,FALSE,NA,मल्हपुरखैइया,NA,NA,NA,NA,FALSE,NA,NA,FALSE,moradabad,chhajlait,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,महिला,Mahila,महिला,1,NA,missing_normalized_component
up2005__row6472,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6472,NA,48,रामपुर,Rampur,Rampur,rampur,FALSE,मिलक,Milk,Milk,milk,FALSE,FALSE,NA,गदैईया निकटहरसुनगत्,NA,NA,NA,NA,FALSE,NA,NA,FALSE,rampur,milk,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,सुशीला देवी,Sushila Devi,महिला,1,NA,missing_normalized_component
up2005__row6475,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6475,NA,51,रामपुर,Rampur,Rampur,rampur,FALSE,मिलक,Milk,Milk,milk,FALSE,FALSE,NA,मौ  नगर नानकार पिछड़ी,NA,NA,NA,NA,FALSE,NA,NA,FALSE,rampur,milk,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,सुषमा देवी,Sushma Devi,महिला,1,NA,missing_normalized_component
up2005__row6506,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,6506,NA,82,रामपुर,Rampur,Rampur,rampur,FALSE,मिलक,Milk,Milk,milk,FALSE,FALSE,NA,ळ्  करीमगंज,NA,NA,NA,NA,FALSE,NA,NA,FALSE,rampur,milk,NA,NA,NA,FALSE,अनुसूचित जाति,Scheduled Caste,sc,0,कीर्ति,Kirti,महिला,1,NA,missing_normalized_component
up2005__row8229,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8229,NA,107,पीलीभीत,Pilibhit,Pilibhit,pilibhit,FALSE,पूरनपुर,Purnanpur,Purnanpur,purnanpur,FALSE,FALSE,NA,टण्डोला जटपुरा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,pilibhit,purnanpur,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,रामलाल बेलामती,Ramalal Belamati,पुरुष,0,NA,missing_normalized_component
up2005__row8236,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8236,NA,114,पीलीभीत,Pilibhit,Pilibhit,pilibhit,FALSE,पूरनपुर,Purnanpur,Purnanpur,purnanpur,FALSE,FALSE,NA,ग्रन्ट नं  उर्फ महादेव माती,NA,NA,NA,NA,FALSE,NA,NA,FALSE,pilibhit,purnanpur,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,छोटेसिंह,Chotte Singh,पुरुष,0,NA,missing_normalized_component
up2005__row8238,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8238,NA,116,पीलीभीत,Pilibhit,Pilibhit,pilibhit,FALSE,पूरनपुर,Purnanpur,Purnanpur,purnanpur,FALSE,FALSE,NA,निजामपुर उर्फ सोंधा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,pilibhit,purnanpur,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,कमलेश कुमार,Kamlesh Kumar,पुरुष,0,NA,missing_normalized_component
up2005__row8242,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8242,NA,120,पीलीभीत,Pilibhit,Pilibhit,pilibhit,FALSE,पूरनपुर,Purnanpur,Purnanpur,purnanpur,FALSE,FALSE,NA,सपहा  दुर्जनपुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,pilibhit,purnanpur,NA,NA,NA,FALSE,अनारक्षित,Unreserved,general,0,मो ० उबैद बेग,Mo 0 Ubaid beg,पुरुष,0,NA,missing_normalized_component
up2005__row8245,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8245,NA,123,पीलीभीत,Pilibhit,Pilibhit,pilibhit,FALSE,पूरनपुर,Purnanpur,Purnanpur,purnanpur,FALSE,FALSE,NA,केसरपुर  गोरा,NA,NA,NA,NA,FALSE,NA,NA,FALSE,pilibhit,purnanpur,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,बिहारी लाल,Bihari Lal,पुरुष,0,NA,missing_normalized_component
up2005__row8270,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8270,NA,152,पीलीभीत,Pilibhit,Pilibhit,pilibhit,FALSE,पूरनपुर,Purnanpur,Purnanpur,purnanpur,FALSE,FALSE,NA,सबलपुर मु  रम्पुरा फ,NA,NA,NA,NA,FALSE,NA,NA,FALSE,pilibhit,purnanpur,NA,NA,NA,FALSE,पिछड़ी जाति - महिला,Other Backward Class - Female,obc,1,कलावती,Kalawati,महिला,1,NA,missing_normalized_component
up2005__row8477,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8477,NA,24,शाहजहांपुर,Shahjahnapur,Shahjahanpur,shahjahnapur,TRUE,भावलखेड़ा,Bhavlakheda,Bhavlakheda,bhavlakheda,FALSE,FALSE,NA,मुका  जमुही,NA,NA,NA,NA,FALSE,NA,NA,FALSE,shahjahanpur,bhavlakheda,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,अनारक्षित सोहन सिह अनुसूचित जाति बुध लाल अनारक्षित गुलशेर खाँ,NA,पुरुष,0,NA,missing_normalized_component
up2005__row8478,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8478,NA,25,शाहजहांपुर,Shahjahnapur,Shahjahanpur,shahjahnapur,TRUE,भावलखेड़ा,Bhavlakheda,Bhavlakheda,bhavlakheda,FALSE,FALSE,NA,जमुही  जलालपुर,NA,NA,NA,NA,FALSE,NA,NA,FALSE,shahjahanpur,bhavlakheda,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,अनुसूचित जाति बुध लाल अनारक्षित गुलशेर खाँ अनुसूचित जाति जगदेयी,NA,महिला,1,NA,missing_normalized_component
up2005__row8483,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8483,NA,30,शाहजहांपुर,Shahjahnapur,Shahjahanpur,shahjahnapur,TRUE,भावलखेड़ा,Bhavlakheda,Bhavlakheda,bhavlakheda,FALSE,FALSE,NA,ते ल,NA,NA,NA,NA,FALSE,NA,NA,FALSE,shahjahanpur,bhavlakheda,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,अनुसूचित जाति महिला - सरोजनी अनारक्षित नसीम खाँ अनारक्षित कप्तान सिंह,NA,पुरुष,0,NA,missing_normalized_component
up2005__row8487,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,8487,NA,34,शाहजहांपुर,Shahjahnapur,Shahjahanpur,shahjahnapur,TRUE,भावलखेड़ा,Bhavlakheda,Bhavlakheda,bhavlakheda,FALSE,FALSE,NA,ल लू,NA,NA,NA,NA,FALSE,NA,NA,FALSE,shahjahanpur,bhavlakheda,NA,NA,NA,FALSE,NA,Unknown,unknown,NA,पिछड़ी जाति महिला - शकुन्तला अनारक्षित संजय कुमार अनुसूचित जाति सुखपाल,NA,पुरुष,0,NA,missing_normalized_component
up2005__row9275,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,9275,NA,19,बदायूं,Budaun,Budaun,budaun,FALSE,वजीरगंज,Wazirganj,Wazirganj,wazirganj,FALSE,FALSE,NA,×  पुसगवां,NA,NA,NA,NA,FALSE,NA,NA,FALSE,budaun,wazirganj,NA,NA,NA,FALSE,पिछड़ी जाति,Other Backward Class,obc,0,महिला आयशा बेगम,Mahila Ayesha Begam,महिला,1,NA,missing_normalized_component
up2005__row10973,2005,up_gp_sarpanch_2005_fixed_with_transliteration.parquet,10973,NA,66,अलीगढ़,Aligarh,Aligarh,aligarh,FALSE,NA,NA,NA,na,FALSE,FALSE,NA,किन्हुआ,NA,NA,NA,NA,FALSE,NA,NA,FALSE,aligarh,na,NA,NA,NA,FALSE,अनुसूचित जाति,Scheduled Caste,sc,0,रामवीर,Ramvir,पुरुष,0,NA,missing_normalized_component
