election_gp_key,canonical_group,gp_name_left,raw_district,raw_block,raw_gp_name,left_index,lgd_gp_code,canonical_group_right,gp_name_right,lgd_district,lgd_block,lgd_gp_name,right_index,gp_name_score,score,decision,reviewer,reviewed_at,notes
up2021__282453,1837,shakar a uli,Amroha,Gangeshwari,Shakar a uli,162887,238843,1837,sakrauli,Amroha,Gangeshwari,Sakrauli,49042,0.8625,0.8625,,,,
up2021__319631,1837,dahri goojar,Amroha,Gangeshwari,Dahri Goojar,162897,238806,1837,dehri gujar,Amroha,Gangeshwari,Dehri Gujar,15059,0.8704545454545455,0.8704545454545455,,,,
up2021__258400,1837,jallopuru mu,Amroha,Gangeshwari,Jallopuru Mu,162903,265217,1837,jllopur must,Amroha,Gangeshwari,Jllopur Must,25112,0.8700000000000001,0.8700000000000001,,,,
up2021__233151,1837,ukawali mu,Amroha,Gangeshwari,Ukawali Mu,162911,265220,1837,ukabli mustt,Amroha,Gangeshwari,Ukabli Mustt,56695,0.8755555555555556,0.8755555555555556,,,,
up2021__268251,1837,pathara eto,Amroha,Gangeshwari,Pathara eto,162912,238835,1837,pathera ahtamali,Amroha,Gangeshwari,Pathera Ahtamali,43215,0.8868181818181818,0.8868181818181818,,,,
up2021__401422,1837,paurora mu,Amroha,Gangeshwari,Paurora Mu,162914,238837,1837,paurara,Amroha,Gangeshwari,Paurara,43440,0.858095238095238,0.858095238095238,,,,
up2021__228939,1837,chaachaura,Amroha,Gangeshwari,Chaachaura,162924,238797,1837,chachaura,Amroha,Gangeshwari,Chachaura,11886,0.8988888888888888,0.8988888888888888,,,,
up2021__359995,1837,guraitha,Amroha,Gangeshwari,Guraitha,162927,238815,1837,guretha,Amroha,Gangeshwari,Guretha,20772,0.8694444444444446,0.8694444444444446,,,,
up2021__381776,1837,damgada,Amroha,Gangeshwari,Damgada,162943,238803,1837,damgarhi,Amroha,Gangeshwari,Damgarhi,14335,0.8678571428571429,0.8678571428571429,,,,
up2021__359587,1837,vijalpur,Amroha,Gangeshwari,Vijalpur,162947,238795,1837,bijhalpur,Amroha,Gangeshwari,Bijhalpur,10849,0.8842592592592592,0.8842592592592592,,,,
up2021__396303,1836,dhakia bhood,Amroha,Gajraula,Dhakia Bhood,162954,238736,1836,dakiya bhoor,Amroha,Gajraula,Dakiya Bhoor,14246,0.9,0.9,,,,
up2021__983872,1836,rahamappur mafi,Amroha,Gajraula,Rahamappur Mafi,162959,265784,1836,rahmapur mafi,Amroha,Gajraula,Rahmapur Mafi,45287,0.897094017094017,0.897094017094017,,,,
up2021__320070,1836,hashimpur burjgah,Amroha,Gajraula,Hashimpur Burjgah,162964,265159,1836,hashampur chur,Amroha,Gajraula,Hashampur Chur,21902,0.8959383753501401,0.8959383753501401,,,,
up2021__306187,1836,naglia mew,Amroha,Gajraula,Naglia Mew,162981,238763,1836,nagaliya mev,Amroha,Gajraula,Nagaliya Mev,38593,0.8924074074074073,0.8924074074074073,,,,
up2021__300422,1836,rahama pur khalsa,Amroha,Gajraula,Rahama pur Khalsa,162991,238768,1836,rahmapur khalsa,Amroha,Gajraula,Rahmapur Khalsa,45286,0.8792156862745099,0.8792156862745099,,,,
up2021__229804,1836,mirpur,Amroha,Gajraula,Mirpur,162993,238759,1836,meerpur,Amroha,Gajraula,Meerpur,36435,0.8642857142857143,0.8642857142857143,,,,
up2021__384081,1836,yakubpur urfa agapur,Amroha,Gajraula,Yakubpur Urfa Agapur,162998,238787,1836,yaqoobpur urf aagapur,Amroha,Gajraula,Yaqoobpur Urf Aagapur,57629,0.875978835978836,0.875978835978836,,,,
up2021__398183,1836,lisardi burjrg,Amroha,Gajraula,Lisardi Burjrg,163008,265171,1836,lisri buzarg,Amroha,Gajraula,Lisri Buzarg,32758,0.8669191919191919,0.8669191919191919,,,,
up2021__417164,1836,kudedina chak,Amroha,Gajraula,Kudedina Chak,163013,238752,1836,kudaina chak,Amroha,Gajraula,Kudaina Chak,30986,0.881021756021756,0.881021756021756,,,,
up2021__353657,1836,kudaineenee,Amroha,Gajraula,Kudaineenee,163019,265787,1836,kudaini,Amroha,Gajraula,Kudaini,30987,0.8805194805194805,0.8805194805194805,,,,
up2021__248459,1836,chahudpur mafi,Amroha,Gajraula,Chahudpur Mafi,163026,238735,1836,choharpur mafi,Amroha,Gajraula,Choharpur Mafi,13825,0.8793650793650793,0.8793650793650793,,,,
up2021__337537,1836,foudapur,Amroha,Gajraula,Foudapur,163027,238742,1836,faundapur,Amroha,Gajraula,Faundapur,17959,0.8529761904761904,0.8529761904761904,,,,
up2021__222303,1836,baiseli,Amroha,Gajraula,Baiseli,163031,238727,1836,basaili,Amroha,Gajraula,Basaili,7014,0.8793650793650793,0.8793650793650793,,,,
up2021__347171,1839,hatavaa,Amroha,Joya,Hatavaa,163064,238955,1839,hatawwa,Amroha,Joya,Hatawwa,21969,0.8857142857142858,0.8857142857142858,,,,
up2021__199411,1839,mirpur,Amroha,Joya,Mirpur,163068,265729,1839,meerpur,Amroha,Joya,Meerpur,36436,0.8642857142857143,0.8642857142857143,,,,
up2021__211806,1839,kakar sarai urf qazi sarai,Amroha,Joya,Kakar Sarai Urf Qazi Sarai,163071,238964,1839,kakar sarai,Amroha,Joya,Kakar Sarai,25850,0.8846153846153847,0.8846153846153847,,,,
up2021__191391,1839,dhanauri ahir,Amroha,Joya,Dhanauri Ahir,163072,238940,1839,dhanori aheer,Amroha,Joya,Dhanori Aheer,15926,0.8676923076923077,0.8676923076923077,,,,
up2021__281039,1839,milk sahupura,Amroha,Joya,Milk Sahupura,163094,265730,1839,milak sahupura,Amroha,Joya,Milak Sahupura,36675,0.8935897435897436,0.8935897435897436,,,,
up2021__246036,1839,aterna,Amroha,Joya,Aterna,163110,264076,1839,atairna,Amroha,Joya,Atairna,2795,0.8793650793650793,0.8793650793650793,,,,
up2021__313965,1839,jagwa khurd,Amroha,Joya,Jagwa Khurd,163116,242076,1839,jaguva khurd,Amroha,Joya,Jaguva Khurd,23434,0.8932323232323233,0.8932323232323233,,,,
up2021__313168,1839,shahabajpur kalan,Amroha,Joya,Shahabajpur Kalan,163117,239014,1839,shahbazpur kalan,Amroha,Joya,Shahbazpur Kalan,51381,0.8973039215686274,0.8973039215686274,,,,
up2021__204406,1839,atraasee kalan,Amroha,Joya,Atraasee Kalan,163119,238922,1839,atrasi kalan,Amroha,Joya,Atrasi Kalan,2945,0.8859307359307359,0.8859307359307359,,,,
up2021__253396,1835,degara,Amroha,Dhanaura,Degara,163136,238671,1835,deengra,Amroha,Dhanaura,Deengra,15009,0.8793650793650793,0.8793650793650793,,,,
up2021__423222,1835,ahrola mafi,Amroha,Dhanaura,Ahrola Mafi,163139,238654,1835,ahraula mafi,Amroha,Dhanaura,Ahraula Mafi,681,0.8932323232323233,0.8932323232323233,,,,
up2021__375113,1835,nadanoor mafi,Amroha,Dhanaura,Nadanoor Mafi,163154,238698,1835,nandnaur mafi,Amroha,Dhanaura,Nandnaur Mafi,39306,0.8937062937062936,0.8937062937062936,,,,
up2021__352739,1835,malkapur bhood,Amroha,Dhanaura,Malkapur Bhood,163157,238690,1835,malakpur,Amroha,Dhanaura,Malakpur,34820,0.8708333333333332,0.8708333333333332,,,,
up2021__350252,1835,sherpur mustakam,Amroha,Dhanaura,Sherpur Mustakam,163176,238715,1835,sherpur,Amroha,Dhanaura,Sherpur,52021,0.8875,0.8875,,,,
up2021__343283,1838,ghoshi pura,Amroha,Hasanpur,Ghoshi Pura,163228,265184,1838,ghasipura,Amroha,Hasanpur,Ghasipura,19489,0.8976430976430976,0.8976430976430976,,,,
up2021__310816,1838,razhouha,Amroha,Hasanpur,Razhouha,163241,238900,1838,rajhoha,Amroha,Hasanpur,Rajhoha,45729,0.8952380952380953,0.8952380952380953,,,,
up2021__387739,1838,luhaaree khaadar,Amroha,Hasanpur,Luhaaree Khaadar,163255,238889,1838,luhari khadar,Amroha,Hasanpur,Luhari Khadar,33010,0.8846153846153847,0.8846153846153847,,,,
up2021__199444,1838,dippur,Amroha,Hasanpur,Dippur,163261,238868,1838,deeppur,Amroha,Hasanpur,Deeppur,15016,0.8642857142857143,0.8642857142857143,,,,
up2021__340522,1838,kunderki bhud,Amroha,Hasanpur,Kunderki Bhud,163267,265777,1838,kundarki bhoor,Amroha,Hasanpur,Kundarki Bhoor,31252,0.8967032967032967,0.8967032967032967,,,,
up2021__344340,1838,isapur sharqi,Amroha,Hasanpur,Isapur Sharqi,163282,238878,1838,ishapur sharki,Amroha,Hasanpur,Ishapur Sharki,22858,0.8747252747252747,0.8747252747252747,,,,
up2021__309955,1838,chaukuni,Amroha,Hasanpur,Chaukuni,163296,265395,1838,chakooni,Amroha,Hasanpur,Chakooni,12211,0.8833333333333334,0.8833333333333334,,,,
up2021__668262,2160,taala,Amethi,Amethi,Taala,163315,90852,2160,tala,Amethi,Amethi,Tala,54851,0.88,0.88,,,,
up2021__487945,2160,nuwwawaan,Amethi,Amethi,Nuwwawaan,163319,90841,2160,nuawan,Amethi,Amethi,Nuawan,40956,0.8666666666666667,0.8666666666666667,,,,
up2021__637297,2160,saraiyaduban,Amethi,Amethi,Saraiyaduban,163330,90851,2160,saria dubaan,Amethi,Amethi,Saria Dubaan,50380,0.8974747474747474,0.8974747474747474,,,,
up2021__604578,2160,viyasia,Amethi,Amethi,Viyasia,163344,271432,2160,biyasiya,Amethi,Amethi,Biyasiya,11500,0.8690476190476191,0.8690476190476191,,,,
up2021__541892,2168,naroli,Amethi,Gauri Ganj,Naroli,163360,91273,2168,narauli,Amethi,Gauriganj,Narauli,39491,0.8944444444444445,0.8944444444444445,,,,
up2021__469239,2168,bahadurpur,Amethi,Gauri Ganj,Bahadurpur,163381,91245,2168,baha pur,Amethi,Gauriganj,Baha Pur,4197,0.8864285714285713,0.8864285714285713,,,,
up2021__468087,2168,sakarwo,Amethi,Gauri Ganj,Sakarwo,163388,91287,2168,sakrawa,Amethi,Gauriganj,Sakrawa,49046,0.8944444444444445,0.8944444444444445,,,,
up2021__553025,2168,itaauja paschim,Amethi,Gauri Ganj,Itaauja Paschim,163403,91264,2168,itaujapachhim,Amethi,Gauriganj,Itaujapachhim,23021,0.8964957264957265,0.8964957264957265,,,,
up2021__928580,2169,nisoora,Amethi,Jagdishpur,Nisoora,163427,91341,2169,nisura,Amethi,Jagdishpur,Nisura,40764,0.8944444444444445,0.8944444444444445,,,,
up2021__556454,2169,mau avatara,Amethi,Jagdishpur,Mau Avatara,163437,91332,2169,mau awtara,Amethi,Jagdishpur,Mau Awtara,36146,0.8991919191919192,0.8991919191919192,,,,
up2021__706291,2169,mahemoo,Amethi,Jagdishpur,Mahemoo,163448,91334,2169,mahemau,Amethi,Jagdishpur,Mahemau,33804,0.8857142857142858,0.8857142857142858,,,,
up2021__681837,2169,hussaininjgakala,Amethi,Jagdishpur,Hussaininjgakala,163459,91314,2169,husain ganj kalan,Amethi,Jagdishpur,Husain Ganj Kalan,22440,0.8963235294117647,0.8963235294117647,,,,
up2021__721772,2169,kachnanv,Amethi,Jagdishpur,Kachnanv,163462,91318,2169,kachnaaw,Amethi,Jagdishpur,Kachnaaw,25468,0.9,0.9,,,,
up2021__535041,2169,vanbhariya,Amethi,Jagdishpur,Vanbhariya,163464,91301,2169,banbhariya,Amethi,Jagdishpur,Banbhariya,5383,0.8962962962962964,0.8962962962962964,,,,
up2021__681145,2169,benchugadh,Amethi,Jagdishpur,Benchugadh,163466,267993,2169,bechu garh,Amethi,Jagdishpur,Bechu Garh,7548,0.8933333333333333,0.8933333333333333,,,,
up2021__588761,2171,reci,Amethi,Jamo,Reci,163519,91476,2171,resi,Amethi,Jamo,Resi,47664,0.8666666666666667,0.8666666666666667,,,,
up2021__603644,2171,ataroli,Amethi,Jamo,Ataroli,163531,271052,2171,atrauli,Amethi,Jamo,Atrauli,2956,0.8793650793650793,0.8793650793650793,,,,
up2021__653249,2171,sambhai,Amethi,Jamo,Sambhai,163533,91477,2171,samahai,Amethi,Jamo,Samahai,49327,0.8944444444444445,0.8944444444444445,,,,
up2021__499684,2064,shahmaon,Amethi,Tiloi,Shahmaon,163551,84321,2064,shah mau,Amethi,Tiloi,Shah Mau,51456,0.9,0.9,,,,
up2021__520897,2064,asani,Amethi,Tiloi,Asani,163558,84288,2064,asni1,Amethi,Tiloi,Asni1,2699,0.8933333333333333,0.8933333333333333,,,,
up2021__547097,2064,kotowaa,Amethi,Tiloi,Kotowaa,163560,84311,2064,kotwa2,Amethi,Tiloi,Kotwa2,30855,0.8944444444444445,0.8944444444444445,,,,
up2021__679808,2064,gadehri,Amethi,Tiloi,Gadehri,163564,84305,2064,garehari,Amethi,Tiloi,Garehari,18856,0.8507936507936509,0.8507936507936509,,,,
up2021__641188,2064,miramau,Amethi,Tiloi,Miramau,163587,271261,2064,meera mau,Amethi,Tiloi,Meera Mau,36396,0.8571428571428572,0.8571428571428572,,,,
up2021__543549,2064,kamaai,Amethi,Tiloi,Kamaai,163599,84309,2064,kamae,Amethi,Tiloi,Kamae,26220,0.8933333333333334,0.8933333333333334,,,,
up2021__526122,2064,viraj,Amethi,Tiloi,Viraj,163600,84298,2064,biraj,Amethi,Tiloi,Biraj,11117,0.8666666666666667,0.8666666666666667,,,,
up2021__611372,2047,udwa,Amethi,Bahadurpur,Udwa,163603,83538,2047,urwa,Amethi,Bahadurpur,Urwa,57065,0.8500000000000001,0.8500000000000001,,,,
up2021__554759,2047,mohiya kesariya,Amethi,Bahadurpur,Mohiya Kesariya,163607,83526,2047,mohaiya kesariya,Amethi,Bahadurpur,Mohaiya Kesariya,37100,0.8920833333333333,0.8920833333333333,,,,
up2021__550561,2047,bhadeiya mahm udpur,Amethi,Bahadurpur,Bhadeiya Mahm’udpur,163608,83512,2047,bhadaiya mahmoodpur,Amethi,Bahadurpur,Bhadaiya Mahmoodpur,8284,0.8868421052631579,0.8868421052631579,,,,
up2021__627313,2047,odari,Amethi,Bahadurpur,Odari,163612,83531,2047,odaree,Amethi,Bahadurpur,Odaree,41020,0.8933333333333334,0.8933333333333334,,,,
up2021__608493,2047,nabaan,Amethi,Bahadurpur,Nabaan,163614,83529,2047,nawawan,Amethi,Bahadurpur,Nawawan,40234,0.8793650793650793,0.8793650793650793,,,,
up2021__562787,2047,purewadearay,Amethi,Bahadurpur,Purewadearay,163621,83533,2047,pure badyrai,Amethi,Bahadurpur,Pure Badyrai,44814,0.8777777777777778,0.8777777777777778,,,,
up2021__533518,2047,mahammadpur,Amethi,Bahadurpur,Mahammadpur,163627,271199,2047,mahmoodpur,Amethi,Bahadurpur,Mahmoodpur,33967,0.8896969696969697,0.8896969696969697,,,,
up2021__595900,2047,basooni,Amethi,Bahadurpur,Basooni,163629,271201,2047,basauni,Amethi,Bahadurpur,Basauni,7136,0.8666666666666668,0.8666666666666668,,,,
up2021__507533,2181,husainpur,Amethi,Bajar Shukla,Husainpur,163641,91968,2181,husen pur,Amethi,Shukul Bazar,Husen Pur,22507,0.8962962962962963,0.8962962962962963,,,,
up2021__490501,2181,mahona purab,Amethi,Bajar Shukla,Mahona Purab,163652,91977,2181,mahauna purab,Amethi,Shukul Bazar,Mahauna Purab,33752,0.881021756021756,0.881021756021756,,,,
up2021__502865,2181,mohiuddnipur,Amethi,Bajar Shukla,Mohiuddnipur,163663,91983,2181,muhiuddin pur,Amethi,Shukul Bazar,Muhiuddin Pur,37807,0.8743006993006993,0.8743006993006993,,,,
up2021__483882,2181,fundanpur,Amethi,Bajar Shukla,Fundanpur,163665,91975,2181,phundan pur,Amethi,Shukul Bazar,Phundan Pur,43722,0.872053872053872,0.872053872053872,,,,
up2021__538815,2181,birahim bazgarh,Amethi,Bajar Shukla,Birahim Bazgarh,163672,91991,2181,virahim bajghar,Amethi,Shukul Bazar,Virahim Bajghar,57433,0.8854700854700855,0.8854700854700855,,,,
up2021__514763,2181,buubupur,Amethi,Bajar Shukla,Buubupur,163690,91960,2181,bubupur,Amethi,Shukul Bazar,Bubupur,11650,0.8904761904761905,0.8904761904761905,,,,
up2021__632357,2163,baldhikpur,Amethi,Bhaddar,Baldhikpur,163701,90977,2163,baidhik pur,Amethi,Bhadar,Baidhik Pur,4492,0.8952188552188552,0.8952188552188552,,,,
up2021__620850,2163,ghazipur,Amethi,Bhaddar,Ghazipur,163730,90989,2163,gaji pur,Amethi,Bhadar,Gaji Pur,18428,0.8500000000000001,0.8500000000000001,,,,
up2021__596197,2163,dhema,Amethi,Bhaddar,Dhema,163736,268645,2163,demma,Amethi,Bhadar,Demma,15101,0.88,0.88,,,,
up2021__532437,2163,dahiavao,Amethi,Bhaddar,Dahiavao,163743,90986,2163,dahiyawa,Amethi,Bhadar,Dahiyawa,14196,0.9,0.9,,,,
up2021__481917,2164,shehari,Amethi,Bhetua,shehari,163747,91048,2164,shahari,Amethi,Bhetua,Shahari,51354,0.8793650793650793,0.8793650793650793,,,,
up2021__1048300,2164,hirapur,Amethi,Bhetua,Hirapur,163749,91033,2164,heerapur,Amethi,Bhetua,Heerapur,22141,0.8821428571428571,0.8821428571428571,,,,
up2021__474536,2164,kudwa,Amethi,Bhetua,Kudwa,163764,91041,2164,kuruwa,Amethi,Bhetua,Kuruwa,31562,0.8577777777777779,0.8577777777777779,,,,
up2021__476748,2164,naugirivaa,Amethi,Bhetua,Naugirivaa,163767,91040,2164,naugirwan,Amethi,Bhetua,Naugirwan,40007,0.8955555555555555,0.8955555555555555,,,,
up2021__594371,2164,piparpur,Amethi,Bhetua,Piparpur,163774,269341,2164,peeparpur,Amethi,Bhetua,Peeparpur,43521,0.8958333333333333,0.8958333333333333,,,,
up2021__1062204,2164,laukapur,Amethi,Bhetua,Laukapur,163779,269379,2164,laukuwa,Amethi,Bhetua,Laukuwa,32580,0.8880952380952382,0.8880952380952382,,,,
up2021__808331,2164,poorab duara,Amethi,Bhetua,Poorab Duara,163781,269511,2164,purab dwara,Amethi,Bhetua,Purab Dwara,44649,0.8704545454545455,0.8704545454545455,,,,
up2021__560409,2177,saraiya sabalshah,Amethi,Musafirkhana,Saraiya Sabalshah,163795,91839,2177,sariyya sabal shah,Amethi,Musafir Khana,Sariyya Sabal Shah,50420,0.8728485838779956,0.8728485838779956,,,,
up2021__570202,2177,surpur kashipur,Amethi,Musafirkhana,Surpur Kashipur,163814,91840,2177,soor pur kashi pur,Amethi,Musafir Khana,Soor Pur Kashi Pur,53855,0.8704761904761905,0.8704761904761905,,,,
up2021__584912,2177,poorepremshah,Amethi,Musafirkhana,Poorepremshah,163815,91834,2177,pure prem shah,Amethi,Musafir Khana,Pure Prem Shah,44907,0.8895604395604395,0.8895604395604395,,,,
up2021__605687,2177,rudoli,Amethi,Musafirkhana,Rudoli,163820,91836,2177,rudauli,Amethi,Musafir Khana,Rudauli,47967,0.8944444444444445,0.8944444444444445,,,,
up2021__604723,2177,besarapurb,Amethi,Musafirkhana,Besarapurb,163821,91801,2177,bisara purab,Amethi,Musafir Khana,Bisara Purab,11296,0.895,0.895,,,,
up2021__547733,2177,pure mo newaz,Amethi,Musafirkhana,Pure Mo Newaz,163825,91831,2177,pure mohammad newaj,Amethi,Musafir Khana,Pure Mohammad Newaj,44890,0.8775978407557355,0.8775978407557355,,,,
up2021__502284,2180,gartholiya,Amethi,Shahgarh,Gartholiya,163863,91932,2180,garthauliya,Amethi,Shahgarh,Garthauliya,19017,0.8991919191919192,0.8991919191919192,,,,
up2021__498215,2180,nevada kishungarh,Amethi,Shahgarh,Nevada Kishungarh,163865,91941,2180,nawada kishun garh,Amethi,Shahgarh,Nawada Kishun Garh,40200,0.8947058823529412,0.8947058823529412,,,,
up2021__586756,2179,amberpur,Amethi,Sangrampur,Amberpur,163886,91891,2179,ammbar pur,Amethi,Sangrampur,Ammbar Pur,1868,0.8866666666666667,0.8866666666666667,,,,
up2021__590202,2179,maudoli,Amethi,Sangrampur,Maudoli,163903,91909,2179,madauli,Amethi,Sangrampur,Madauli,33227,0.8793650793650793,0.8793650793650793,,,,
up2021__536444,2179,gujipur,Amethi,Sangrampur,Gujipur,163913,269675,2179,gooji pur,Amethi,Sangrampur,Gooji Pur,20078,0.8571428571428572,0.8571428571428572,,,,
up2021__560110,2179,gorakhpur,Amethi,Sangrampur,Gorakhpur,163922,91901,2179,ghorkha pur,Amethi,Sangrampur,Ghorkha Pur,19619,0.8787878787878789,0.8787878787878789,,,,
up2021__528868,2063,pederiya,Amethi,Singhpur,Pederiya,163928,84270,2063,perariya,Amethi,Singhpur,Perariya,43582,0.8666666666666667,0.8666666666666667,,,,
up2021__540244,2063,pendara,Amethi,Singhpur,Pendara,163929,84269,2063,perara,Amethi,Singhpur,Perara,43580,0.8793650793650793,0.8793650793650793,,,,
up2021__644255,2063,mattapur,Amethi,Singhpur,Mattapur,163930,84265,2063,mantepur,Amethi,Singhpur,Mantepur,35670,0.8666666666666667,0.8666666666666667,,,,
up2021__580978,2063,angoori,Amethi,Singhpur,Angoori,163944,84234,2063,anguri,Amethi,Singhpur,Anguri,2114,0.8944444444444445,0.8944444444444445,,,,
up2021__513210,2063,aazaadpur,Amethi,Singhpur,Aazaadpur,163960,84235,2063,azadpur,Amethi,Singhpur,Azadpur,3213,0.8904761904761904,0.8904761904761904,,,,
up2021__693108,2063,vatiya,Amethi,Singhpur,Vatiya,163963,84237,2063,batiya,Amethi,Singhpur,Batiya,7420,0.888888888888889,0.888888888888889,,,,
up2021__612385,2063,garhi mahawl,Amethi,Singhpur,Garhi Mahawl,163970,271219,2063,gadhi mahabal,Amethi,Singhpur,Gadhi Mahabal,18212,0.8940170940170941,0.8940170940170941,,,,
up2021__622649,2063,phula,Amethi,Singhpur,Phula,163980,84271,2063,phoola,Amethi,Singhpur,Phoola,43653,0.8577777777777779,0.8577777777777779,,,,
up2021__805313,1433,bhitaridihi,Ambedkar Nagar,Akbarpur,Bhitaridihi,163984,45641,1433,bhitri deeh,Ambedkar Nagar,Akbarpur,Bhitri Deeh,10152,0.890909090909091,0.890909090909091,,,,
up2021__749914,1433,bardhabhiura,Ambedkar Nagar,Akbarpur,Bardhabhiura,163994,45640,1433,bhardha bhiura,Ambedkar Nagar,Akbarpur,Bhardha Bhiura,9158,0.8821428571428571,0.8821428571428571,,,,
up2021__753928,1433,mirpur shekhpur,Ambedkar Nagar,Akbarpur,Mirpur Shekhpur,163996,45695,1433,meerpur shekhpur,Ambedkar Nagar,Akbarpur,Meerpur Shekhpur,36452,0.8567857142857143,0.8567857142857143,,,,
up2021__747199,1433,dallappur nizampur,Ambedkar Nagar,Akbarpur,Dallappur Nizampur,163997,45648,1433,dalla nijampur,Ambedkar Nagar,Akbarpur,Dalla Nijampur,14293,0.8686202686202685,0.8686202686202685,,,,
up2021__804453,1433,itoura,Ambedkar Nagar,Akbarpur,Itoura,164011,271994,1433,itrora,Ambedkar Nagar,Akbarpur,Itrora,23091,0.8577777777777779,0.8577777777777779,,,,
up2021__1167717,1433,dawoodpur,Ambedkar Nagar,Akbarpur,Dawoodpur,164037,45650,1433,daudpur,Ambedkar Nagar,Akbarpur,Daudpur,14761,0.873015873015873,0.873015873015873,,,,
up2021__733537,1433,ukara,Ambedkar Nagar,Akbarpur,Ukara,164054,45746,1433,ukra,Ambedkar Nagar,Akbarpur,Ukra,56711,0.88,0.88,,,,
up2021__832219,1433,pirpur,Ambedkar Nagar,Akbarpur,Pirpur,164087,45710,1433,peerpur,Ambedkar Nagar,Akbarpur,Peerpur,43537,0.8642857142857143,0.8642857142857143,,,,
up2021__787973,1433,sahnemoo,Ambedkar Nagar,Akbarpur,Sahnemoo,164089,45724,1433,sahne mau,Ambedkar Nagar,Akbarpur,Sahne Mau,48615,0.8833333333333333,0.8833333333333333,,,,
up2021__792581,1433,asauwapar mohrai,Ambedkar Nagar,Akbarpur,Asauwapar Mohrai,164106,45629,1433,ashaura par mohrai,Ambedkar Nagar,Akbarpur,Ashaura Par Mohrai,2622,0.8677777777777778,0.8677777777777778,,,,
up2021__914485,1433,mirjaveg dubakhar,Ambedkar Nagar,Akbarpur,Mirjaveg Dubakhar,164109,45696,1433,mirzabeg dukhar,Ambedkar Nagar,Akbarpur,Mirzabeg Dukhar,36813,0.8766013071895425,0.8766013071895425,,,,
up2021__729040,1433,harkhpur kauraha,Ambedkar Nagar,Akbarpur,Harkhpur Kauraha,164113,45658,1433,harakhpur kauraha,Ambedkar Nagar,Akbarpur,Harakhpur Kauraha,21278,0.8987745098039216,0.8987745098039216,,,,
up2021__960784,1439,sugoi,Ambedkar Nagar,Katehri,Sugoi,164158,46232,1439,sugauti,Ambedkar Nagar,Katehari,Sugauti,53987,0.8533333333333333,0.8533333333333333,,,,
up2021__863806,1439,husenpur heedi,Ambedkar Nagar,Katehri,Husenpur Heedi,164190,46185,1439,husainpur hiri,Ambedkar Nagar,Katehari,Husainpur Hiri,22466,0.8666666666666668,0.8666666666666668,,,,
up2021__800269,1439,mahrua gola,Ambedkar Nagar,Katehri,Mahrua Gola,164194,46200,1439,maharuwa gola,Ambedkar Nagar,Katehari,Maharuwa Gola,33731,0.8792540792540793,0.8792540792540793,,,,
