election_gp_key,canonical_group,gp_name_left,raw_district,raw_block,raw_gp_name,left_index,lgd_gp_code,canonical_group_right,gp_name_right,lgd_district,lgd_block,lgd_gp_name,right_index,gp_name_score,score,decision,reviewer,reviewed_at,notes
up2021__247047,1834,lodhipur bamjhra,Amroha,Amroha,Lodhipur Bamjhra,162754,264880,1834,lodipurawa mjara,Amroha,Amroha,Lodipurawa Mjara,32805,0.8766025641025642,0.8766025641025642,,,,
up2021__297426,1834,noraahan,Amroha,Amroha,Noraahan,162780,238630,1834,naurahan,Amroha,Amroha,Naurahan,40045,0.8821428571428571,0.8821428571428571,,,,
up2021__306586,1834,bibada kala,Amroha,Amroha,Bibada Kala,162787,238588,1834,bibra kalan,Amroha,Amroha,Bibra Kalan,10619,0.8632996632996633,0.8632996632996633,,,,
up2021__422936,1834,sultanpur jahur hasan,Amroha,Amroha,Sultanpur Jahur Hasan,162804,264844,1834,sultaanpur zahoor hasan,Amroha,Amroha,Sultaanpur Zahoor Hasan,54172,0.8830118775198866,0.8830118775198866,,,,
up2021__394999,1834,beedba khurd,Amroha,Amroha,Beedba Khurd,162810,238589,1834,bibra khurd,Amroha,Amroha,Bibra Khurd,10620,0.8704545454545455,0.8704545454545455,,,,
up2021__324504,1834,jabdi,Amroha,Amroha,Jabdi,162818,238608,1834,jabdi urf muneempur,Amroha,Amroha,Jabdi Urf Muneempur,23125,0.8526315789473684,0.8526315789473684,,,,
up2021__368772,1834,baskhedi,Amroha,Amroha,Baskhedi,162826,238582,1834,bans kheri,Amroha,Amroha,Bans Kheri,5780,0.8866666666666667,0.8866666666666667,,,,
up2021__209609,1834,aparola mayabaug,Amroha,Amroha,Aparola Mayabaug,162842,238577,1834,apraula may bag,Amroha,Amroha,Apraula May Bag,2224,0.8734188034188034,0.8734188034188034,,,,
up2021__394959,1837,nirayavali,Amroha,Gangeshwari,Nirayavali,162870,265210,1837,niryabli,Amroha,Gangeshwari,Niryabli,40750,0.8674999999999999,0.8674999999999999,,,,
up2021__390512,1837,patai khadar,Amroha,Gangeshwari,Patai Khadar,162875,238834,1837,patei khadar,Amroha,Gangeshwari,Patei Khadar,43163,0.8974747474747474,0.8974747474747474,,,,
up2021__350521,1837,farauta,Amroha,Gangeshwari,Farauta,162882,265211,1837,faronta,Amroha,Gangeshwari,Faronta,17743,0.8666666666666668,0.8666666666666668,,,,
up2021__245457,1837,gangatkala,Amroha,Gangeshwari,Gangatkala,162884,265208,1837,gangadh kola,Amroha,Gangeshwari,Gangadh Kola,18611,0.8683333333333333,0.8683333333333333,,,,
