universe,panel,rows,matched,ambiguous
full_linked_panels,2005_2010,42622,33192,20
full_linked_panels,2005_2010_2015_2021,29734,24588,16
full_linked_panels,2010_2015,39551,28226,19
full_linked_panels,2015_2021,46514,18288,2
qraj_v1,2005_2010,41890,32612,20
qraj_v1,2005_2010_2015_2021,29253,24188,16
qraj_v1,2010_2015,39529,27748,19
qraj_v1,2015_2021,46514,18018,2
